page	part_number	quantity	description
184	M-3188	1	Arrangement and detail of platform storage.
184	M-3189	2	Fork, end for detail of platform storage
184	M-3190	2	Eyebolt for detail of platform storage.
184	M-3191	2	Adjusting nut detail of platform storage.
184	M-3193	1	Hotchkiss ammunition racks for above shell store.
184	M-3196	1	Hotchkiss ammunition racks—removable section.
184	M-3197	1	Wood batten for supporting racks on bulkhead.
184	M-3198	1	Wood packing piece for racks on bulkhead.
184	M-568	2	Pin for eyebolt.
184	M-3063	2	Shell tube plate.
184	M-3064	2	Shell block (upper).
184	M-3065	2	Shell block (lower).
184	M-3066	10	Bracket.
184	M-3067	2	Bracket.
184	M-3068	2	Bracket.
184	M-3069	2	Shell stop shell holder.
184	M-3070	2	Shell stop shell holder.
184	M-3071	2	Shell stop shell holder.
184	M-3072	2	Shell stop shell holder.
184	M-3073	2	Shell stop shell holder.
184	M-3020	10	Spring case shell holder.
184	O-38—21192	10	Spring.
184	M-3023	10	Plunger.
184	M-3024	10	Bracket.
184	M-3025	10	Pin.
184	A-37—21191	98	Detail of shell tube.
184	B-37—21191	98	Expansion tube.
184	M-2437	4	Clip for periscope.
184	M-3015	split	Side plate platform.
184	M-3016	1	End plate platform (rear).
184	M-3017	1	Cover plate platform (rear).
184	M-3018	1	End plate platform (forward).
184	M-3019	2	Bracket strip intermediate shaft.
184	M-3020	12	Spring case shell holder.
184	M-3022	2	Stop-bar case shell holder.
184	Q-38—21192	12	Spring case shell holder.
184	M-3023	12	Plunger shell holder.
184	M-3024	12	Bracket shell holder.
184	M-3025	12	Pin shell holder.
184	M-3026	4	Bracket platform.
184	A-37—21191	60	Detail of shell tube.
184	B-37—21191	60	Expansion tube.
184	M-3029	1	Starting handle front gearing plate.
184	M-3030	4	Stop-bar shell holder.
184	M-3031	1	Shell block.
184	M-3032	6	Bracket for shell block.
184	P-1	1	Body.
184	P-2	1	Body gasket.
184	P-3	2	Body-gasket bushing.
184	P-4	2	Body spring pin.
184	P-5	2	Body dowel pin.
184	P-25	1	Float.
184	P-44	1	Float bolt.
184	P-45	1	Float-bolt nut.
184	P-26	1	Float chamber.
184	P-27	1	Float-chamber cover.
184	P-46	4	Float-chamber cover screws.
184	P-47	4	Float-chamber cover lock washer.
184	P-48	4	Float-chamber stud.
184	P-49	4	Float-chamber stud dowel pin.
185	P-50	4	Float-chamber nut.
185	P-51	4	Float-chamber lock washer.
185	P-52	1	Float-chamber equalizing tube.
185	P-53	1	Float rocker shaft.
185	P-54	2	Float rocker-shaft bearing.
185	P-55	2	Float rocker-shaft bearing washer.
185	P-35	1	Float valve.
185	P-36	1	Float-valve stem.
185	P-37	1	Float-valve collar.
185	P-38	1	Float-valve lever
185	P-39	2	Float-valve lever pins.
185	P-56	1	Float-valve guide.
185	P-28	1	Float-valve guide cap.
185	P-41	1	Float-valve seat.
185	P-57	1	Float-valve seat bushing.
185	P-42	1	Float-valve seat washer.
185	P-58	1	Float-valve stop collar.
185	P-250	2	Air valve.
185	P-251	2	Air-valve cage.
185	P-257	2	Air-valve stem.
185	P-255	2	Air-valve stem nuts.
185	P-256	2	Air-valve stem cotter.
185	P-252	2	Air-valve spring.
185	P-258	1	Air-valve locking wire.
185	P-150	1	Horn.
185	P-154	2	Horn spring.
185	P-600	2	By-pass screws.
185	P-602	2	By-pass plug screws.
185	P-300	2	Throttle stems.
185	P-302	2	Throttle blade.
185	P-303	6	Throttle-blade screw.
185	P-314	2	Throttle gear.
185	P-315	2	Throttle-gear dowel.
185	P-316	1	Throttle-gear stop screw.
185	P-317	1	Throttle-gear lock screw.
185	P-550	6	Gasoline-hole plug.
185	P-6	2	Body spring pin dowels.
185	P-403	2	Throat.
185	P-404	2	Throat-lock screw.
