page	part_number	quantity	description
185	P-406	12	Throat tubes.
185	P-405	2	Throat washers.
185	P-407	2	Throat-lock washers.
185	P-650	2	Idling adjusting screw.
185	P-653	2	Idling adjusting-screw plug.
185	P-654	2	Idling adjusting-screw bushing.
185	P-700	2	Yoke end.
185	P-701	4	Yoke end set screw.
185	P-702	2	Yoke end set-screw wire.
185	P-703	2	Yoke end bolt.
185	P-704	2	Yoke end washer.
185	P-705	2	Yoke end nut.
185	M-1583	4	Angle cleats on sides.
185	M-1584	2	Packing strip under angle cleats.
185	M-1585	4	Beading for chain casing.
185	M-1586	4	Beading for removable cap.
185	M-1587	1	Supporting bracket (right hand).
185	M-1588	1	Supporting bracket (left hand).
185	M-1590	1	Chain casing.
185	M-1591	1	Chain-casing removable cap.
185	M-1592	1	Chain-casing angle fixing to hull back plate.
185	M-1593	2	Chain-casing angle cleat on top.
185	M-1594	2	Chain-casing register plate on removable cap.
185	M-1581	2	Register plate.
185	SH862A	1	Sliding collar.
185	SH861D	4	Keys.
185	SH862B	1	Sliding-collar cap.
185	SH866A	1	Outer clutch drum part.
185	SH861A	6	Spring plungers.
185	SH861B	6	Washers.
185	SH865D	6	Springs.
185	SH861C	6	Springs retainers,
185	SH861E	1	Spring stop ring.
185	SH867A	1	Inner clutch drum.
185	SH869A	1	Clutch-drum supporting collar.
188	SH864B	1	Clutch coupling.
188	SH864C	1	Clutch sleeve.
188	SH864A	1	Cardon shaft.
188	SH863A	1	Clutch, front bearings.
188	SH863B	1	Clutch, rear bearings.
188	SH863D	1	Gear-lock washer.
188	SH863C	1	Snap ring.
188	SH855A	2	Bearing race.
188	M-855	1	Coupling box.
188	SH865B	1	Ball retainer.
188	SH865C	1	Large spring.
188	M-856	2	Coupling cover.
188	M-858	1	Clutch-stop drum.
188	M-308	1	Cardon shaft thrust spring.
188	SH136A	1	Crank-shaft nut.
188	SH849A	2	Spring flange.
188	SH849B	1	Clutch spring.
188	SH849C	1	Spring-retaining ring.
188	SH849D	1	Floating ring.
188	SH953A	1	Clutch-shaft bracket (left).
188	SH953B	2	Clutch auxiliary operating lever.
188		2	No. 6 taper pins 2¾ inches long.
188	SH953C	1	Clutch auxiliary operating shaft.
188	SH953D	1	Clutch auxiliary rod (rear).
188		3	⅛-inch diameter cotter pins.
188	M-4163	1	Clutch lever (right).
188	M-4162	1	Clutch lever (left).
188	M-4161	2	Clutch-lever pin.
188	M-4155	4	Ball-bearing washer.
188	M-4164	1	Clutch-operating lever.
188	M-4160	1	Clutch-stop anchor plate.
188	M-4153	1	Ball-crank carrier plate.
188	M-4148	1	Clutch-shaft bracket.
188	M-4158	1	Clutch-stop band.
188	M-4159	1	Clutch-stop lining.
188	M-4150	1	Clutch shaft.
188	M-4156	1	Clutch-stop rod eyebolt.
188	M-4172	5	Clutch-lever feather key.
188	M-4152	1	Clutch-stop rod pin.
188		1	⅛-inch split pin.
188	M-4165	1	Ball-crank pin.
188		1	5/32-inch split pin.
188	M-4151	1	Clutch-stop rod.
188	S-673	1	Clutch-stop spring.
188	S-676	1	Clutch-stop eyebolt nut.
188	SH955A	2	Clutch-stop rod nut.
188	M-4175	2	Locking set screw for clutch-lever pin.
188	M-4157	1	Clutch-stop band pin.
188		1	⅛-inch split pin.
188	M-4154	1	Clutch-stop bell crank.
188	M-563	2	High-speed brake-rod spring.
188	M-564	4	Foot and low-speed brake-rod spring.
188	M-565	1	Reversing rod (rear).
188	M-566	1	Reversing rod (center)
188	M-567	64	Spring washer (small) for brake gear.
188	M-568	64	Pin for fork ends.
188	M-569	42	Fork end for control rods.
188	M-570	12	Fork end for control tube,
188	M-571	1	Reversing rod (forward).
188	M-572	2	Low-speed brake connecting tube.
188	M-573	2	Low-speed brake rod (rear).
188	M-574	3	Low-speed brake rod (forward) and clutch rod (center).
188	M-575	2	High-speed brake (rear).
188	M-576	5	Clutch rod (forward), high-speed brake rod (center), foot-brake rod (forward).
188	M-577	2	Foot-brake connecting tube.
188	M-578	2	Foot-brake rod (rear).
188	M-579	2	Foot-brake rod (center).
188	M-581	1	Clutch rod (rear), Liberty.
189	SH964A	2	Engine-control lever bracket.
189	SH964B	2	Engine-control lever hub.
189	SH964C	2	Engine-control lever friction disc.
189	SH964D	2	Engine-control lever.
189	SH964E	2	Engine-control lever stud.
189	SH964F	4	Engine-control friction washer.
189	SH964G	2	Engine-control lever connection.
189	SH965A	1	Engine-control rocker arm bracket, long.
189	SH965B	2	Engine-control rocker shaft.
189	SH965C	2	Collar for rocker shaft.
189	SH965D	2	Engine-control rocker arm bracket shaft.
189	SH965E	4	Engine-control rocker arm.
189	SH965F	1	Fulcrum bracket for connecting lever.
189	SH965G	2	Fulcrum bracket pin.
189	SH965H	2	Engine-control rod connection lever.
189	SH966A	2	Rocker-shaft bracket for throttle control.
189	SH966B	1	Rocker arm—short—for throttle control.
189	SH966C	1	Rocker arm—long—for throttle control.
189	SH966D	1	Rocker shaft—for throttle control.
189	SH966E	1	Bell-crank lever bracket for throttle control.
189	SH966F	2	Bell-crank lever—spark and throttle control.
189	SH966G	2	Bell-crank lever stud.
189	SH967A	1	Bell-crank lever top—bracket spark control.
189	SH967B	1	Bell-crank lever for spark control.
189	SH967C	1	Bell-crank lever stud for spark control.
189	SH967D	1	Bell-crank lever bracket bottom spark control.
189	SH967E	12	.5-engine control clevises.
189	SH967F	5	.375-engine control clevises.
189	SH967G	3	5/16-engine control clevises.
189	SH968A	1	Engine-control rod—for throttle.
189	SH968B	1	Engine-control rod—for throttle.
189	SH968C	1	Engine-control rod—for throttle.
189	SH968D	1	Engine-control rod—for sprak control.
189	SH968H	1	Engine-control rod—for spark control.
189	SH968E	5	.375 clevis pins.
189	SH968F	12	.5 clevis pins.
189	SH968G	5	5/16-Clevis pins.
189	SH968K	1	.375 clevis pins.
189	SH969A	2	Engine-control rod—for spark and throttle.
189	SH969B	1	Engine-control rod—for throttle.
189	SH969C	1	Engine-control rod—for spark.
189	SH969D	2	Engine-control rod—vertical spark and throttle
189	SH970A	1	Governor spring.
189	SH970B	1	Throttle lever.
189	SH970D	1	Governor spring yoke.
189	SH970E	1	Spring—large end plate.
189	SH970F	1	Spring—small end plate.
189	M-638	1	Intermediate shaft
189	M-639	3	Bracket for intermediate shaft.
189	M-640	10	Rocking lever for brakes.
189	M-641	2	Fulcrum bracket for foot brake lever.
189	M-642	1	Swing link for clutch.
189	M-4137	5	Spring washer (large) for brake gear.
189	M-4131	1	Fulcrum bracket for brake levers.
189	M-764	1	Brake pedal.
189	M-765	1	Foot-brake bridle.
189	M-766	1	Foot-brake bridle distance.
189	M-767	1	Foot-brake bridle pin.
189	M-768	3	Foot-brake bridle pin nut.
189	M-769	2	Foot-brake link.
189	M-770	1	Foot-brake suspension link.
189	M-771	8	Brake connecting link.
190	M-738	2	Control lever.
190	M-739	3	Hand-lever trigger.
190	M-740	6	Control-lever trigger pin.
190	M-741	2	Control-lever pawl.
190	M-742	3	Control-lever pawl.
190	M-743	2	Control-lever trigger rod.
190	M-744	4	Control-lever trigger spring.
190	M-745	5	Control-lever trigger-spring pin.
190	M-746	1	Control-lever fulcrum, starboard.
190	M-747	1	Control-lever fulcrum, port.
190	M-748	2	Control-lever spring pin.
190	M-749	2	Control-lever lock.
190	M-750	2	Control-lever lock pin.
190	M-751	1	Control gate, starboard.
190	M-752	1	Control gate, port.
190	M-753	2	Control-lever spring.
190	M-754	2	Control-spring adjusting eye belt.
190	M-755	2	Control pawl stop.
190	M-756	1	Low-speed selector lever, starboard.
190	M-757	1	Low-speed selector lever, port.
190	M-758	1	High-speed selector lever, starboard.
190	M-759	1	High-speed selector lever, port.
190	M-760	2	Low-speed brake suspension link.
190	M-761	2	Low-speed brake suspension pin.
190	M-762	2	Low-speed connecting link.
190	M-763	2	Low-speed brake link.
190	M-798	1	Pedal stop.
190	M-799	1	Clutch-lever stop.
190	M-772	1	Clutch-operating lever.
190	M-773	1	Clutch-locking bar.
190	M-774	1	Clutch-locking bar bracket.
190	M-775	4	Swing link distance piece.
190	M-776	2	Foot-brake bridle pin.
190	M-777	1	Reverse-operating lever.
190	M-778	1	Reverse-lever trigger rod.
190	M-779	1	Reverse-lever quadrant.
190	M-780	1	Reverse-lever pawl.
190	M-781	2	Reverse quadrant distance piece.
190	M-782	1	Fulcrum shaft.
190	M-783	1	Swing-link shaft.
190	M-784	4	Swing link.
190	M-785	1	Spring anchor angle.
190	M-786	1	Seat-support plate, starboard.
190	M-787	1	Seat-support plate, port.
190	M-788	2	Seat-support plate, angle.
190	M-789	4	Connecting rod.
190	M-790	3	Joint pin.
190	M-791	1	Seat.
190	M-792	1	Seat back.
190	M-793	1	Seat stay, forward.
190	M-794	1	Seat stay, aft.
190	M-795	1	Foot-brake suspension link sleeve.
190		1	Seat cushion.
190		1	Seat-back handle.
190		2	Seat-back handle rivet.
190	M-810	4	Quadrant rack ferrule.
190	M-811	1	Packing for front seat stay.
190	M-812	1	Packing for rear seat stay.
190	M-4128	1	Control channel.
190	M-4129	2	Right-hand angle cleat for control channel.
190	M-4130	2	Left-hand angle cleat for control channel.
190	M-4131	5	Fulcrum bracket for brake levers.
190	M-4132	2	Horizontal lever for foot brake.
190	M-4133	1	Horizontal lever low-speed brake, port.
190	M-4134	1	Horizontal lever low-speed brake, starboard
190	M-4135	2	High-speed brake rod spring bracket.
190	M-4136	2	Foot and low-speed brake-rod spring bracket.
190	M-4137	4	Spring washer (large) for brake gear.
191	M-1032	1	Side plate.
191	M-1033	1	Bottom plate.
191	M-1034	1	Front bottom plate.
191	M-1035	1	Front plate.
191	12211	1	Water-pump assembly.
191	8079	1	Water-pump shaft with gear.
191	8056	1	Water-pump shaft ball bearing.
191	8069	1	Water-pump shaft bearing retainer.
191	8213	2	Water-pump packing.
191	8059	2	Water-pump shaft gland.
191	8058	1	Water-pump shaft gland engine.
191	12071	1	Water-pump body.
191	12075	2	Water-pump outlet connection (cast with body) (tube 1⅜ inches O. D. by / 0.065 wall by 1⅞ inches).
191	8133	1	Water-pump body drain (plug ⅝ inch by 18 thd., hex. head).
191	158	1	Water-pump body drain plug gasket (⅝ inch annular).
191	131	8	Water-pump cover stud (¼ inch–28 by 1¼ inches, standard) (¼ inch be- / tween nut and surface).
191	159	1	Water-pump shaft key (3/16 inch by ⅛ by ⅝ inch)
191	12517	1	Water-pump impeller.
191	8214	1	Water-pump shaft nut.
191	212	1	Water-pump shaft cotter (rustproof).
191	8215	1	Water-pump cover gasket.
191	12435	1	Water-pump cover.
191	12081	1	Water-pump inlet connection (cast with cover) (tube 2 inches O. D. by / 0.065 wall by 1⅞ inches).
191	111	8	Water-pump cover stud washer (¼ inch).
191	101	8	Water-pump cover stud nut (¾ inch by 28 thd., standard).
191	8510	x	Water-pump shaft bearing retainer shim.
191	8345	1	Water-pump shaft bearing retainer gasket.
191	8077	1	Water-pump bevel driver.
191	8239	1	Water-pump bevel-driver bushing and housing assembly.
191	8062	2	Water-pump bevel-driver bushing.
191	8065	1	Water-pump bevel-driver bushing housing (front).
191	8064	1	Water-pump bevel-driver bushing housing (rear).
191	174	1	Water-pump bevel-driver bushing dowel (3/16 inch by ⅜ inch).
191	154	1	Water-pump bevel-driver bushing housing (rear) screw (¾ inch–16 by 3¼ / inches).
191	113	1	Water-pump bevel-driver bushing housing (rear) screw washer (⅜ inch).
191	177	1	Water-pump bevel-driver bushing housing (rear) screw lock wire (W. and / M. Ga. No. 18 (0.0475) by 6).
191	12123	1	Cylinder water-inlet manifold.
191	12096	1	Cylinder water-inlet manifold extension (right).
191	12097	1	Cylinder water-inlet manifold extension (left).
191	12128	4	Cylinder water-inlet manifold extension hose (1⅜ inches I. D. by 1⅝ inches / O. D. by 1¾ inches long).
191	8453	8	Cylinder water-inlet manifold extension hose clamp assembly.
191	8152	12	Cylinder-water hose (inlet); (see cylinder parts list also).
191	8450	24	Cylinder water-inlet hose clamp.
191	8426	1	Water-pump bevel-driver and housing assembly.
191	116	2	Water-pump bevel-driver housing clamp bolt.
191	174	1	Water-pump bevel-driver bushing dowel.
191	111	4	Water-pump bevel-driver housing clamp bolt washer.
191	8133	1	Water-pump body drain plug.
191	101	2	Water-pump bevel-driver housing clamp bolt nut.
191	106	2	Water-pump bevel-driver housing clamp bolt cotter.
191	M-878	1	Top header.
191	M-879	1	Bottom header.
191	M-880	1	Stiffening plate for drain-pipe connection.
191	M-881	2	Cover plate for tube plate.
191	SH607C	606	Radiator tubes.
191	M-886	1	Stiffening plate for water connections.
191	M-887	1	Stiffening plate for steam-pipe connection.
191	M-888	2	Gasket for header.
191	M-889	1	Swivel pin.
191	M-891	2	Front support bracket.
191	M-892	1	Rear support bracket.
191	M-897	1	Bottom stiffening plate for steam-pipe connection.
191	M-898	1	Front angle bracket for radiator support.
191	M-899	1	Rear angle bracket for radiator support.
191	SH606A	1	Tube plate (right).
192	SH606B	1	Tube plate (left).
192	SH606C	1	Reinforcing strip (right).
192	SH606D	1	Reinforcing strip (left).
192	SH607A	1	Middle tank gasket.
192	SH607B	2	Middle tank band iron.
192	SH611A	1	Middle tank plate (right).
192	SH611B	1	Middle tank plate (left).
192	SH612A	1	Side plate (left).
192	SH612B	1	Side plate (right).
192	M-889	1	Swivel pin for radiator support (rear).
192	M-891	2	Radiator support bracket (front).
192	M-892	1	Radiator support bracket (rear).
192	M-1193	1	Water tank.
192	M-1194	1	Flange for filler pipe.
192	M-1195	1	Flange for radiator pipe.
192	M-1196	1	Stiffening plate for flow pipe.
192	M-1197	1	Filler pipe.
192	BA109—21149	1	Cap for filler pipe.
192	M-1228	1	Water-outlet pipe from engine.
192	M-1229	1	Radiator inlet pipe.
192	M-1230	1	Flanged socket for radiator inlet pipe.
192	M-1231	1	Water-tank outlet connection.
192	SH975C	3	Radiator outlet coupling.
192	M-1233	1	Radiator outlet band.
192	SH975B	1	Radiator outlet pipe.
192	SH975A	1	Radiator outlet tee.
192	M-1236	1	Pump suction band.
192	SH976C	2	Clip for water pipe.
192	M-1238	1	Radiator drain pipe.
192	M-1239	1	Plate bracket for radiator drain cock.
192		1	½-inch bore cock inlet tapped ½-inch pipe thread outlet to take hose pipe.
192		1	¾-inch by 2-inch bolt for plate bracket.
192		1	½-inch bore copper pipe, 16-gage, 7 feet 8 inches long.
192		2	Nipples for copper pipe, 16-gage, 7 feet 6 inches long.
192		2	Union nuts for copper pipe, 16-gage, 7 feet 6 inches long.
192		2	Union with one end screwed ¾-inch pipe thread.
192		1	¾-inch W. I. knee with nipple.
192	M-1240	1	Pipe joint for water tank. outlet.
192	M-1241	2	Pipe joint for radiator inlet and outlet.
192	M-1242	1	Water-outlet pipe from engine.
192	SH199C	1	Vapor pipe from engine-water outlet.
192		2	Flexible coupling 2½ inches long (for 1-inch W. I. piping).
192		4	Clips for coupling 2½ inches long (for 1-inch W. I. piping).
192		1	1-inch Whit. Gas. plug (on M 1229).
192		1	Vapor pipe connecting piece.
192	M-1244	1	Support bracket (for engine water outlet and vapor pipe).
192	M-1245	1	Clip for vapor pipe on engine.
192		2	⅜-inch and ⅞-inch bolt (with Grover washer).
192		1	½-inch by ½-inch set screw (with grover washer).
192	SH199B	2	Hose connection (short).
192	SH976B	1	Water pipe under engine.
192	SH975E	1	Water-pipe coupling.
192	SH976A	2	Water-pipe clip.
192	SH974A	1	Pipe connection to pump.
192	SH975D	1	Piping outlet coupling.
192	SH40AB	50	Outside side plate.
192	SH40AC	50	Inside side plate.
192	SH40AD	50	Collar busihng.
192	SH40AE	50	Collar-bushing pin.
192	12104	1	Cam shaft, right.
192	12105	1	Cam shaft, left.
192	8100	2	Cam-shaft plug (machined in end of each cam shaft).
192	8400	2	Cam-shaft bearing, No. 1 assembly.
192	8111	2	Cam-shaft bearing, upper half, No. 1.
192	8112	2	Cam-shaft bearing, lower half No. 1.
194	8481	2	Cam-shaft bearing, No. 2 assembly.
194	8113	2	Cam-shaft bearing, upper half, No. 2.
194	8114	2	Cam-shaft bearing, lower half, No. 2.
194	8482	2	Cam-shaft bearing, No. 3 assembly.
194	8115	2	Cam-shaft bearing, upper half, No. 3.
194	8116	2	Cam-shaft bearing, lower half, No. 3.
194	8483	2	Cam-shaft bearing No. 4 assembly.
194	8117	2	Cam-shaft bearing, upper half, No. 4.
194	8118	2	Cam-shaft bearing, lower half, No. 4.
194	8484	2	Cam-shaft bearing No. 5 assembly.
194	8119	2	Cam-shaft bearing (upper half), No. 5.
194	8120	2	Cam-shaft bearing (lower half), No. 5.
194	12485	2	Cam-shaft bearing No. 6 assembly.
194	12248	2	Cam-shaft bearing (upper half), No. 6.
194	12249	2	Cam-shaft bearing (lower half), No. 6.
194	8101	48	Cam-shaft bearing upper to lower half screw (screw No. 8—32 by ½-inch / special.
194	12250	2	Cam-shaft bearing (front).
194	8376	2	Cam-shaft bearing (front) end plate.
194	8219	8	Cam-shaft bearing (front) end plate screw (screw No. 10—thd. special head)
194	177	2	Cam-shaft bearing (front) end plate screw lock wire W. and M. Ga. No. 18 / (0.0475) by 6.
194	8379	2	Cam-shaft bearing (front) end plate gasket.
194	8108	14	Cam-shaft bearing lock screw.
194	157	14	Cam-shaft bearing lock screw gasket (⅜-inch annular).
194	177	12	Cam-shaft bearing lock screw lock wire, W. and M. Ga., No. 18 (0.0475) by 6.
194	8093	2	Cam-shaft gear.
194	8059	x	Cam-shaft gear shim.
194	171	14	Cam-shaft gear bolt (¼-in.–28 by 11/16-inch special) (1⅝ inches between head / and nut).
194	200	14	Cam-shaft gear bolt nut (¼-inch–28.)
194	106	14	Cam-shaft gear bolt cotter (1/16 inch by ½).
194	13006	2	Cam-shaft distributor driving flange.
194	12486	2	Cam-shaft housing and cover assembly.
194	12124	2	Cam-shaft housing.
194	8095	10	Cam-shaft housing cover.
194	8467	2	Cam-shaft housing cover (propeller end).
194	8133	2	Cam-shaft housing cover (propeller end plug).
194	158	2	Cam-shaft housing cover (propeller end plug gasket) (⅝ inch annular).
194	178	36	Cam-shaft housing cover bolt (5/16-inch—24 by 2 3/32 inches special).
194	102	36	Cam-shaft housing cover bolt nut (5/16-inch—24 thd. standard).
194	112	72	Cam-shaft housing cover bolt washer (5/16-inch).
194	107	36	Cam-shaft housing cover bolt cotter (1/16 inch by ⅝ inch).
194	8088	2	Cam-shaft housing front end cover.
194	169	2	Cam-shaft housing front cover gasket (1⅞-inch annular).
194	177	2	Cam-shaft housing front end cover lock wire W. and M. Ga. No. 18 (0.0475) / by 6.
194	8462	2	Cam-shaft housing front end cover oil connection.
194	157	4	Cam-shaft housing front end cover oil connection gasket (⅜-inch annular).
194	8122	2	Cam-shaft housing front end cover oil connection nut.
194	8133	1	Cam-shaft housing cover (propeller end) plug.
194	8425	12	Cam-shaft rocker lever, right assembly.
194	8424	12	Cam-shaft rocker lever, left assembly.
194	8020	12	Cam-shaft rocker lever (right).
194	8019	12	Cam-shaft rocker lever (left).
194	8471	48	Cam-shaft rocker lever plug (machined with lever).
194	8082	24	Cam-shaft rocker lever roller.
194	8083	24	Cam-shaft rocker lever roller pin.
194	8084	24	Cam-shaft rocker lever roller pin sleeve.
194	8085	24	Cam-shaft rocker lever tappet.
194	8086	24	Cam-shaft rocker lever tappet shim, medium.
196	8087	24	Cam-shaft rocker lever tappet shim, thin.
196	8089	24	Cam-shaft rocker lever tappet shim, thick.
196	102	24	Cam-shaft rocker lever tappet nut.
196	107	24	Cam-shaft rocker lever tappet cotter.
196	8102	2	Cam-shaft driving shaft (upper).
196	8107	2	Cam-shaft driving shaft (upper), bushing small.
196	8092	2	Cam-shaft driving shaft (upper), bushing large.
196	8094	2	Cam-shaft driving shaft (upper) gear.
196	160	4	Cam-shaft driving shaft (upper) gear key (3/16 by ⅛ by 13/16 inch).
196	156	2	Cam-shaft driving shaft (upper) gear pin (⅛ by 1 3/32 inches).
196	8109	2	Cam-shaft driving shaft (upper) housing and flange assem.
196	8103	2	Cam-shaft driving shaft (upper) housing.
196	8110	2	Cam-shaft driving shaft (upper) housing flange.
196	186	2	Cam-shaft driving shaft (upper) housing brazing pin; (8d. finishing nail).
196	8139	2	Cam-shaft driving shaft (upper) housing flange gasket.
196	181	8	Cam-shaft driving shaft (upper) housing flange stud (¼-inch—28 by 1¼ / inches std.) (¼ inch between nut and surface)
196	101	8	Cam-shaft driving shaft (upper) housing flange .stud nut (¼-inch—28 thd., / standard).
196	106	8	Cam-shaft driving shaft (upper) housing flange stud nut (1/16 inch by ½ inch).
196	8068	2	Cam-shaft driving shaft (upper) housing packing.
196	8066	2	Cam-shaft driving shaft (upper) housing packing nut.
196	8208	2	Cam-shaft driving shaft (lower) assembly.
196	8141	2	Cam-shaft driving shaft (lower).
196	8063	4	Cam-shaft driving shaft (lower) ball bearing.
196	8070	2	Cam-shaft driving shaft (lower) ball bearing container.
196	8343	2	Cam-shaft driving shaft (lower) ball bearing container gasket.
196	8072	2	Cam-shaft driving shaft (lower) bearing container cover.
196	3144	2	Cam-shaft driving shaft (lower) bearing spacer.
196	3076	2	Cam-shaft driving shaft (lower) gear.
196	8142	2	Cam-shaft driving-shaft (lower) nut (nut ⅝ inch—18 thd. special).
196	172	2	Cam-shaft driving-shaft, lower cotter (⅛ inch by 1 inch).
196	159	4	Cam-shaft driving-shaft, lower gear key (3/16 inch by ⅛ inch by ⅝ inch).
196	12243	1	Crank case, lower half assembly.
196	12036	1	Crank case, lower half.
196	12038	1	Crank case, lower half oil manifold.
196	8518	1	Crank case, lower half oil-hole plug (plug ⅝ inch—18 thd. Hex. head).
196	157	1	Crank case, lower half oil hold plug gasket (⅜-inch annular).
196	12135	1	Crank case, lower half oil tube (large).
196	12136	6	Crank case, lower half oil tube (small).
196	8174	2	Crank case, lower half oil pump to manifold tube.
196	12039	1	Crank case, lower half oil-pump suction tube.
196	8040	1	Crank case, lower half oil pump-suction tube extension.
196	158	1	Crank case, lower half oil-pump suction tube extension gasket (⅝-inch / annular).
196	161	1	Crank case, lower half oil manifold plug (⅛-inch pipe).
196	161	2	Crank case, lower half oil-pump suction tube plug (⅛-inch pipe).
196	8033	14	Crank-shaft bearing bolt (long).
196	8034	2	Crank-shaft bearing bolt (short).
196	115	16	Crank-shaft bearing bolt washer ½ (inch).
196	12548	16	Crank-shaft bearing bolt washer.
196	110	32	Crank-shaft bearing bolt cotter (3/32 inch by ⅞ inch).
196	105	32	Crank-shaft bearing bolt nut (½ inch—20 thd. std).
196	8018	7	Crank-shaft bearing dowel.
196	132	10	Oil pump to crank-case stud (¼ inch—28 by 1 7/16 inch standard) (7/16 inch be- / tween nut and surface).
196	140	4	Water pump to crank-case stud (⅜ inch—24 by 1 15/16 inch standard).
196	8131	2	Crank case, lower half sump (front) cover lock bushing.
196	8130	11	Crank case, lower half sump (front) cover lock.
196	8129	1	Crank case, lower half sump (front) cover.
198	8530	1	Crank case, lower half sump (front) oil strainer assembly.
198	8527	1	Crank case, lower half sump (front) oil strainer housing.
198	8528	1	Crank case, lower half sump (front) oil strainer screen-side.
198	8529	1	Crank case, lower half sump (front) oil strainer screen-top.
198	12244	1	Crank case, upper half assembly.
198	12035	1	Crank case, upper half.
198	8216	1	Crank case, upper half drain tube assembly.
198	8217	1	Crank case, upper half drain tube.
198	8344	1	Crank case, upper half drain tube cup.
198	8218	1	Crank case, upper half drain tube flange.
198	117	2	Crank case, upper half drain tube bolt (¼ inch—28 by 1⅛ inch standard) / (11/16 inch between head and nut).
198	101	2	Crank case, upper half drain tube bolt nut (¼ inch—28 thd. standard).
198	106	2	Crank case, upper half drain tube bolt nut (1/16 inch by ½ inch).
198	12137	1	Crank case, upper half oil tube.
198	8156	2	Crank case oil-filler assembly.
198	8155	2	Crank case oil-filler assembly.
198	8162	2	Crank case oil-filler cover assembly.
198	8151	2	Crank case oil-filler cover.
198	8157	2	Crank case oil-filler cover hinge.
198	8159	2	Crank case oil-filler cover hinge pin.
198	8163	2	Crank case oil-filler cover lock.
198	8160	2	Crank-case oil-filler cover spring.
198	261	4	Crank-case oil-filler cover spring escutcheon pin (No. 14 by ⅜ inch).
