level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1715	2450	-1	
2	1	1	0	0	0	126	261	251	27	-1	
3	1	1	1	0	0	126	261	251	27	-1	
4	1	1	1	1	0	126	261	251	27	-1	
5	1	1	1	1	1	126	261	99	25	56.622219	Puate
5	1	1	1	1	2	250	261	56	27	94.961220	No.
5	1	1	1	1	3	326	263	51	25	95.606003	124
2	1	2	0	0	0	1618	171	5	370	-1	
3	1	2	1	0	0	1618	171	5	370	-1	
4	1	2	1	1	0	1618	171	5	370	-1	
5	1	2	1	1	1	1618	171	5	370	95.000000	 
2	1	3	0	0	0	64	0	1600	1064	-1	
3	1	3	1	0	0	64	0	1600	1064	-1	
4	1	3	1	1	0	64	0	1600	1064	-1	
5	1	3	1	1	1	64	0	1600	1064	95.000000	  
2	1	4	0	0	0	699	1081	914	31	-1	
3	1	4	1	0	0	699	1081	914	31	-1	
4	1	4	1	1	0	699	1081	914	31	-1	
5	1	4	1	1	1	699	1089	64	19	96.436745	FAN
5	1	4	1	1	2	779	1089	108	20	96.219498	BEVEL
5	1	4	1	1	3	902	1090	66	20	95.737152	BOX
5	1	4	1	1	4	1590	1081	23	31	24.115265	P|
2	1	5	0	0	0	112	1302	247	28	-1	
3	1	5	1	0	0	112	1302	247	28	-1	
4	1	5	1	1	0	112	1302	247	28	-1	
5	1	5	1	1	1	112	1302	99	26	77.835739	Puate
5	1	5	1	1	2	232	1303	57	26	95.641266	No.
5	1	5	1	1	3	308	1305	51	25	95.641266	125
2	1	6	0	0	0	368	1490	19	1	-1	
3	1	6	1	0	0	368	1490	19	1	-1	
4	1	6	1	1	0	368	1490	19	1	-1	
5	1	6	1	1	1	368	1490	19	1	95.000000	 
2	1	7	0	0	0	368	1481	1	25	-1	
3	1	7	1	0	0	368	1481	1	25	-1	
4	1	7	1	1	0	368	1481	1	25	-1	
5	1	7	1	1	1	368	1481	1	25	95.000000	 
2	1	8	0	0	0	366	1499	19	1	-1	
3	1	8	1	0	0	366	1499	19	1	-1	
4	1	8	1	1	0	366	1499	19	1	-1	
5	1	8	1	1	1	366	1499	19	1	95.000000	 
2	1	9	0	0	0	383	1483	2	54	-1	
3	1	9	1	0	0	383	1483	2	54	-1	
4	1	9	1	1	0	383	1483	2	54	-1	
5	1	9	1	1	1	383	1483	2	54	95.000000	 
2	1	10	0	0	0	476	1552	1	19	-1	
3	1	10	1	0	0	476	1552	1	19	-1	
4	1	10	1	1	0	476	1552	1	19	-1	
5	1	10	1	1	1	476	1552	1	19	95.000000	 
2	1	11	0	0	0	243	1625	1	18	-1	
3	1	11	1	0	0	243	1625	1	18	-1	
4	1	11	1	1	0	243	1625	1	18	-1	
5	1	11	1	1	1	243	1625	1	18	95.000000	 
2	1	12	0	0	0	204	1370	1194	606	-1	
3	1	12	1	0	0	204	1370	1194	606	-1	
4	1	12	1	1	0	204	1370	1194	606	-1	
5	1	12	1	1	1	204	1370	1194	606	95.000000	 
2	1	13	0	0	0	440	1993	663	37	-1	
3	1	13	1	0	0	440	1993	663	37	-1	
4	1	13	1	1	0	440	1993	663	37	-1	
5	1	13	1	1	1	440	1993	89	20	95.625824	ROAD
5	1	13	1	1	2	545	1995	113	21	96.430595	TRACK
5	1	13	1	1	3	673	1997	140	33	95.938339	DRIVING
5	1	13	1	1	4	828	1999	118	20	95.493240	WHEEL
5	1	13	1	1	5	962	2001	141	20	95.560913	SECTION
