level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1625	2450	-1	
2	1	1	0	0	0	0	148	1105	152	-1	
3	1	1	1	0	0	0	148	1105	33	-1	
4	1	1	1	1	0	0	148	1105	33	-1	
5	1	1	1	1	1	0	149	83	32	34.130623	mnie
5	1	1	1	1	2	93	148	100	26	0.000000	evicer.
5	1	1	1	1	3	238	170	7	3	14.331726	©
5	1	1	1	1	4	269	169	34	3	23.473007	eo
5	1	1	1	1	5	318	168	97	3	7.883232	Sue
5	1	1	1	1	6	423	168	8	3	2.121750	a
5	1	1	1	1	7	462	168	46	3	30.974609	a
5	1	1	1	1	8	516	167	589	3	8.509735	ee
3	1	1	2	0	0	0	189	1105	111	-1	
4	1	1	2	1	0	14	189	1091	31	-1	
5	1	1	2	1	1	14	190	158	26	47.631966	Bam-shatt
5	1	1	2	1	2	186	189	123	31	0.000000	MOusing.
5	1	1	2	1	3	344	209	107	4	13.613899	2-028
5	1	1	2	1	4	464	210	7	2	24.211189	7
5	1	1	2	1	5	491	209	35	3	33.270851	ee
5	1	1	2	1	6	553	184	42	41	42.426674	es
5	1	1	2	1	7	631	208	63	3	42.905235	se
5	1	1	2	1	8	730	208	76	3	21.577011	ee
5	1	1	2	1	9	884	208	109	3	28.922134	ee
4	1	1	2	2	0	0	231	1104	27	-1	
5	1	1	2	2	1	0	232	215	26	0.000000	alecarburetor
5	1	1	2	2	2	228	231	135	26	39.493439	funCtION
5	1	1	2	2	3	380	252	30	3	21.108551	2%
5	1	1	2	2	4	422	251	24	4	34.470650	=<
5	1	1	2	2	5	461	251	8	3	33.580338	2
5	1	1	2	2	6	503	251	56	3	3.649506	ies
5	1	1	2	2	7	594	250	60	3	23.293495	eee
5	1	1	2	2	8	685	250	82	3	8.076897	ee
5	1	1	2	2	9	783	250	56	3	17.279007	ye
5	1	1	2	2	10	858	250	36	3	20.657753	i
5	1	1	2	2	11	926	249	46	3	28.592216	eee
5	1	1	2	2	12	1014	249	33	4	28.734352	a
5	1	1	2	2	13	1079	250	25	3	31.750992	ae
4	1	1	2	3	0	0	274	1097	26	-1	
5	1	1	2	3	1	0	274	86	26	16.235031	Bric
5	1	1	2	3	2	100	274	84	26	84.547432	track
5	1	1	2	3	3	197	274	98	25	0.000000	Lollers225
5	1	1	2	3	4	379	294	90	4	36.143459	2222
5	1	1	2	3	5	490	293	35	3	42.687866	ee
5	1	1	2	3	6	557	292	155	4	34.204811	Se
5	1	1	2	3	7	883	291	162	4	32.989990	eee
2	1	2	0	0	0	0	556	1104	156	-1	
3	1	2	1	0	0	0	556	1104	156	-1	
4	1	2	1	1	0	1	556	1103	33	-1	
5	1	2	1	1	1	1	556	82	33	0.000000	qillos
5	1	2	1	1	2	107	547	68	46	15.627815	ning
5	1	2	1	1	3	291	580	160	3	21.786942	i
5	1	2	1	1	4	540	579	78	4	10.990143	ee
5	1	2	1	1	5	651	578	62	3	30.490768	ee
5	1	2	1	1	6	805	577	113	4	32.647064	ee
5	1	2	1	1	7	944	576	160	3	14.375572	ee
4	1	2	1	2	0	1	598	1102	33	-1	
5	1	2	1	2	1	1	598	82	32	0.000000	MaNoosV
5	1	2	1	2	2	96	600	119	31	1.434235	Stel
5	1	2	1	2	3	231	599	176	32	7.043167	CesChippON
5	1	2	1	2	4	430	622	56	3	27.561333	280
