level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1625	2450	-1	
2	1	1	0	0	0	433	59	523	22	-1	
3	1	1	1	0	0	433	59	523	22	-1	
4	1	1	1	1	0	433	59	523	22	-1	
5	1	1	1	1	1	433	61	277	20	93.284607	NOMENCLATURE
5	1	1	1	1	2	726	59	230	21	90.740860	LIST—Continued
2	1	2	0	0	0	42	99	1275	15	-1	
3	1	2	1	0	0	42	99	1275	15	-1	
4	1	2	1	1	0	42	99	1275	15	-1	
5	1	2	1	1	1	42	99	1275	15	95.000000	 
2	1	3	0	0	0	63	230	1288	14	-1	
3	1	3	1	0	0	63	230	1288	14	-1	
4	1	3	1	1	0	63	230	1288	14	-1	
5	1	3	1	1	1	63	230	1288	14	95.000000	 
2	1	4	0	0	0	138	403	111	184	-1	
3	1	4	1	0	0	138	403	111	184	-1	
4	1	4	1	1	0	139	403	110	8	-1	
5	1	4	1	1	1	139	403	110	8	95.000000	 
4	1	4	1	2	0	140	411	109	12	-1	
5	1	4	1	2	1	140	411	109	12	95.000000	 
4	1	4	1	3	0	140	423	109	13	-1	
5	1	4	1	3	1	140	423	109	13	95.000000	 
4	1	4	1	4	0	140	436	109	12	-1	
5	1	4	1	4	1	140	436	109	12	95.000000	 
4	1	4	1	5	0	140	448	109	13	-1	
5	1	4	1	5	1	140	448	109	13	95.000000	 
4	1	4	1	6	0	140	461	109	12	-1	
5	1	4	1	6	1	140	461	109	12	95.000000	 
4	1	4	1	7	0	140	473	109	13	-1	
5	1	4	1	7	1	140	473	109	13	95.000000	 
4	1	4	1	8	0	141	486	108	12	-1	
5	1	4	1	8	1	141	486	108	12	95.000000	 
4	1	4	1	9	0	138	498	111	89	-1	
5	1	4	1	9	1	138	498	111	89	95.000000	  
2	1	5	0	0	0	38	717	216	127	-1	
3	1	5	1	0	0	38	717	216	127	-1	
4	1	5	1	1	0	38	717	216	127	-1	
5	1	5	1	1	1	38	717	216	127	95.000000	 
2	1	6	0	0	0	41	968	215	221	-1	
3	1	6	1	0	0	41	968	215	221	-1	
4	1	6	1	1	0	41	968	215	221	-1	
5	1	6	1	1	1	41	968	215	221	95.000000	    
2	1	7	0	0	0	161	1346	92	138	-1	
3	1	7	1	0	0	161	1346	92	138	-1	
4	1	7	1	1	0	161	1346	92	138	-1	
5	1	7	1	1	1	161	1346	92	138	95.000000	 
2	1	8	0	0	0	249	115	15	1495	-1	
3	1	8	1	0	0	249	115	15	1495	-1	
4	1	8	1	1	0	249	115	15	1495	-1	
5	1	8	1	1	1	249	115	15	1495	95.000000	 
2	1	9	0	0	0	134	1706	136	219	-1	
3	1	9	1	0	0	134	1706	136	219	-1	
4	1	9	1	1	0	134	1706	135	138	-1	
5	1	9	1	1	1	134	1706	135	138	95.000000	  
4	1	9	1	2	0	183	1844	87	81	-1	
5	1	9	1	2	1	183	1844	87	81	95.000000	  
2	1	10	0	0	0	262	1908	3	320	-1	
3	1	10	1	0	0	262	1908	3	320	-1	
4	1	10	1	1	0	262	1908	3	320	-1	
5	1	10	1	1	1	262	1908	3	320	95.000000	 
2	1	11	0	0	0	47	2052	224	180	-1	
3	1	11	1	0	0	47	2052	224	180	-1	
4	1	11	1	1	0	47	2052	224	180	-1	
5	1	11	1	1	1	47	2052	224	180	95.000000	 
2	1	12	0	0	0	383	470	17	1757	-1	
3	1	12	1	0	0	383	470	17	1757	-1	
4	1	12	1	1	0	383	470	17	1757	-1	
5	1	12	1	1	1	383	470	17	1757	95.000000	 
2	1	13	0	0	0	367	2053	12	170	-1	
3	1	13	1	0	0	367	2053	12	170	-1	
4	1	13	1	1	0	367	2053	12	170	-1	
5	1	13	1	1	1	367	2053	12	170	0.000000	NeENENNH
2	1	14	0	0	0	531	1019	6	471	-1	
3	1	14	1	0	0	531	1019	6	471	-1	
4	1	14	1	1	0	531	1019	6	471	-1	
5	1	14	1	1	1	531	1019	6	471	95.000000	 
2	1	15	0	0	0	22	127	1108	1799	-1	
3	1	15	1	0	0	22	127	1108	1799	-1	
4	1	15	1	1	0	262	127	119	45	-1	
5	1	15	1	1	1	262	137	105	33	94.785477	Number
5	1	15	1	1	2	379	127	2	45	82.178085	|
4	1	15	1	2	0	87	163	934	31	-1	
5	1	15	1	2	1	87	164	53	20	96.116875	Part
5	1	15	1	2	2	151	164	43	20	96.097359	No.
5	1	15	1	2	3	295	171	40	23	56.508354	per
5	1	15	1	2	4	380	176	1	18	56.508354	|
5	1	15	1	2	5	716	165	143	24	96.400261	Description
5	1	15	1	2	6	870	165	45	19	96.901199	and
5	1	15	1	2	7	924	163	97	21	96.696777	location
4	1	15	1	3	0	263	191	104	21	-1	
5	1	15	1	3	1	263	191	104	21	96.591774	machine
4	1	15	1	4	0	381	261	677	43	-1	
5	1	15	1	4	1	381	261	2	43	67.474503	|
5	1	15	1	4	2	680	270	88	20	91.474312	ROAD
5	1	15	1	4	3	784	268	274	21	79.006027	TRACK—Continued
4	1	15	1	5	0	382	317	664	32	-1	
5	1	15	1	5	1	382	322	2	27	89.072540	|
5	1	15	1	5	2	695	324	98	15	90.577362	DRIVING
5	1	15	1	5	3	808	317	238	21	41.834290	WHEEL—continued
4	1	15	1	6	0	39	366	767	28	-1	
5	1	15	1	6	1	39	370	144	19	0.000000	M=1405..0--
5	1	15	1	6	2	189	387	56	2	0.000000	=.
5	1	15	1	6	3	356	371	11	18	75.575020	4
5	1	15	1	6	4	401	369	140	24	91.018425	Diaphragm
5	1	15	1	6	5	552	370	31	19	96.108582	for
5	1	15	1	6	6	592	370	54	20	96.788269	road
5	1	15	1	6	7	656	370	63	19	96.856110	track
5	1	15	1	6	8	729	369	77	20	95.696136	wheel.
4	1	15	1	7	0	39	395	660	23	-1	
5	1	15	1	7	1	39	395	100	19	73.115967	M-1406_
5	1	15	1	7	2	357	397	10	17	63.566391	1
5	1	15	1	7	3	402	395	62	20	85.946243	Shaft
5	1	15	1	7	4	473	395	92	23	95.706207	bearing
5	1	15	1	7	5	575	395	63	19	96.299576	inner
5	1	15	1	7	6	648	395	51	19	95.589485	end.
4	1	15	1	8	0	40	420	659	23	-1	
5	1	15	1	8	1	40	420	100	19	82.869629	M-1407_
5	1	15	1	8	2	358	422	9	17	71.150955	1
5	1	15	1	8	3	384	438	1	3	71.150955	|
5	1	15	1	8	4	402	420	63	20	96.592758	Shaft
5	1	15	1	8	5	474	420	92	23	96.403336	bearing
5	1	15	1	8	6	575	421	63	18	96.509178	outer
5	1	15	1	8	7	648	420	51	19	96.733467	end.
4	1	15	1	9	0	40	443	828	25	-1	
5	1	15	1	9	1	40	445	100	19	84.792648	M-1409_
5	1	15	1	9	2	357	447	12	17	57.368256	2
5	1	15	1	9	3	402	445	103	23	96.522072	Bushing
5	1	15	1	9	4	514	445	32	19	96.632843	for
5	1	15	1	9	5	555	445	54	19	96.695770	road
5	1	15	1	9	6	619	445	63	19	96.370171	track
5	1	15	1	9	7	692	444	88	23	96.402527	driving
5	1	15	1	9	8	789	443	79	21	96.747452	wheel.
4	1	15	1	10	0	40	470	611	25	-1	
5	1	15	1	10	1	40	470	100	19	85.582214	M-1410_
5	1	15	1	10	2	358	472	9	17	38.254719	1
5	1	15	1	10	3	384	492	1	3	38.254719	|
5	1	15	1	10	4	402	470	57	23	95.332260	Plug
5	1	15	1	10	5	468	470	23	19	96.248558	in
5	1	15	1	10	6	501	470	44	19	94.049721	end
5	1	15	1	10	7	555	470	21	19	96.203979	of
5	1	15	1	10	8	584	470	67	19	96.057022	shaft.
4	1	15	1	11	0	40	494	700	28	-1	
5	1	15	1	11	1	40	495	101	19	33.438400	M-1411_
5	1	15	1	11	2	358	497	11	18	69.477074	2
5	1	15	1	11	3	384	504	2	18	69.477074	|
5	1	15	1	11	4	402	495	99	23	96.440338	Locking
5	1	15	1	11	5	511	495	60	23	96.850258	plate
5	1	15	1	11	6	581	495	31	19	96.404984	for
5	1	15	1	11	7	622	494	59	20	96.794434	shaft
5	1	15	1	11	8	691	495	49	18	96.502914	nut.
4	1	15	1	12	0	41	519	707	24	-1	
5	1	15	1	12	1	41	521	121	19	82.296249	M-1552___
5	1	15	1	12	2	359	522	9	18	64.536606	1
5	1	15	1	12	3	384	523	2	24	64.536606	|
5	1	15	1	12	4	403	520	57	19	94.710754	Stud
5	1	15	1	12	5	470	520	60	23	96.453751	plate
5	1	15	1	12	6	539	520	31	19	96.841446	for
5	1	15	1	12	7	580	520	59	19	96.170120	shaft
5	1	15	1	12	8	649	519	99	22	96.169373	bearing.
4	1	15	1	13	0	39	541	856	34	-1	
5	1	15	1	13	1	39	541	147	34	73.241745	20297-D89__
5	1	15	1	13	2	359	547	9	17	39.672112	1
5	1	15	1	13	3	384	554	2	16	39.672112	|
5	1	15	1	13	4	403	545	51	22	96.850296	Key
5	1	15	1	13	5	464	545	30	19	96.970642	for
5	1	15	1	13	6	504	545	54	19	96.950783	road
5	1	15	1	13	7	567	544	63	20	96.702255	track
5	1	15	1	13	8	641	544	88	23	96.631523	driving
5	1	15	1	13	9	739	543	70	19	96.442757	wheel
5	1	15	1	13	10	818	542	60	20	92.736298	shaft
5	1	15	1	13	11	891	557	4	4	92.373772	.
4	1	15	1	14	0	40	569	529	21	-1	
5	1	15	1	14	1	40	571	89	19	20.751648	SVS
5	1	15	1	14	2	88	567	17	33	17.140961	Ta
5	1	15	1	14	3	121	567	52	33	23.620705	yee
5	1	15	1	14	4	181	587	29	2	16.236359	sae
5	1	15	1	14	5	358	571	12	18	61.682404	2
5	1	15	1	14	6	402	570	50	19	94.608719	Nut
5	1	15	1	14	7	462	570	31	18	96.831726	for
5	1	15	1	14	8	502	569	67	20	96.726135	shaft.
4	1	15	1	15	0	762	616	221	20	-1	
5	1	15	1	15	1	762	617	89	19	95.945198	ROAD
5	1	15	1	15	2	871	616	112	19	95.702255	TRACK
4	1	15	1	16	0	768	670	208	15	-1	
5	1	15	1	16	1	768	671	56	14	95.978706	LINK
5	1	15	1	16	2	839	670	49	15	96.481262	AND
5	1	15	1	16	3	903	670	73	15	96.439781	SHOES
4	1	15	1	17	0	334	716	434	23	-1	
5	1	15	1	17	1	334	719	37	19	96.889244	312
5	1	15	1	17	2	381	712	14	31	95.695488	|
5	1	15	1	17	3	404	717	64	20	95.695488	Road
5	1	15	1	17	4	478	717	63	20	96.373886	track
5	1	15	1	17	5	550	717	49	19	96.373886	link
5	1	15	1	17	6	611	716	67	23	96.486061	(right
5	1	15	1	17	7	688	716	80	23	96.648361	hand).
4	1	15	1	18	0	334	742	355	25	-1	
5	1	15	1	18	1	334	745	37	18	93.110222	312
5	1	15	1	18	2	386	765	2	2	93.110222	|
5	1	15	1	18	3	404	742	43	20	96.053223	Pin
5	1	15	1	18	4	457	743	31	18	96.879822	for
5	1	15	1	18	5	496	742	55	20	96.359383	road
5	1	15	1	18	6	560	742	63	20	96.261314	track
5	1	15	1	18	7	633	742	56	19	96.394142	link.
4	1	15	1	19	0	334	766	414	24	-1	
5	1	15	1	19	1	334	770	37	19	95.846275	312
5	1	15	1	19	2	386	769	2	13	95.846275	|
5	1	15	1	19	3	404	767	102	23	96.368866	Bushing
5	1	15	1	19	4	516	767	31	20	96.911446	for
5	1	15	1	19	5	556	767	54	20	96.807968	road
5	1	15	1	19	6	621	767	62	20	96.587929	track
5	1	15	1	19	7	693	766	55	19	95.878845	link.
4	1	15	1	20	0	336	792	275	21	-1	
5	1	15	1	20	1	336	795	35	18	93.149582	156
5	1	15	1	20	2	385	788	13	34	91.979210	|
5	1	15	1	20	3	405	793	63	20	96.748863	Road
5	1	15	1	20	4	479	793	62	19	96.441032	track
5	1	15	1	20	5	551	792	60	20	95.498749	shoe.
4	1	15	1	21	0	335	816	397	24	-1	
5	1	15	1	21	1	335	820	37	19	93.548790	312
5	1	15	1	21	2	383	812	14	33	93.548790	|
5	1	15	1	21	3	405	818	64	20	96.742157	Road
5	1	15	1	21	4	479	818	63	20	96.745453	track
5	1	15	1	21	5	551	817	48	20	96.544197	link
5	1	15	1	21	6	612	817	47	23	95.529961	(left
5	1	15	1	21	7	669	816	63	24	96.784180	half).
4	1	15	1	22	0	765	865	220	21	-1	
5	1	15	1	22	1	765	866	88	20	95.750946	ROAD
5	1	15	1	22	2	873	865	112	20	95.804642	TRACK
4	1	15	1	23	0	668	918	462	20	-1	
5	1	15	1	23	1	668	922	91	16	96.308609	ROLLER
5	1	15	1	23	2	773	921	85	16	96.114220	LOWER
5	1	15	1	23	3	873	920	61	15	94.857697	WITH
5	1	15	1	23	4	949	919	82	16	96.929306	SPRING
5	1	15	1	23	5	1047	918	83	16	96.772232	PLATES
4	1	15	1	24	0	363	968	325	21	-1	
5	1	15	1	24	1	363	971	8	18	79.623505	1
5	1	15	1	24	2	384	964	12	34	79.623505	|
5	1	15	1	24	3	406	969	63	20	96.859367	Road
5	1	15	1	24	4	480	969	63	19	96.721275	track
5	1	15	1	24	5	552	968	64	20	96.986557	roller
5	1	15	1	24	6	626	968	62	20	96.516457	tube.
4	1	15	1	25	0	362	993	326	24	-1	
5	1	15	1	25	1	362	996	11	18	42.889320	2
5	1	15	1	25	2	382	989	12	33	42.889320	|
5	1	15	1	25	3	406	994	80	23	95.844788	Spring
5	1	15	1	25	4	495	994	54	19	96.979523	steel
5	1	15	1	25	5	558	993	54	24	96.990974	split
5	1	15	1	25	6	621	993	67	24	95.765320	rings.
4	1	15	1	26	0	362	1019	262	25	-1	
5	1	15	1	26	1	362	1021	11	18	74.895058	2
5	1	15	1	26	2	406	1019	64	20	96.766174	Road
5	1	15	1	26	3	480	1020	63	19	96.460701	track
5	1	15	1	26	4	553	1019	71	19	96.460701	roller.
4	1	15	1	27	0	363	1043	347	24	-1	
5	1	15	1	27	1	363	1047	9	17	72.857635	1
5	1	15	1	27	2	388	1047	2	8	72.857635	|
5	1	15	1	27	3	407	1044	64	20	96.839966	Road
5	1	15	1	27	4	481	1045	62	19	96.409210	track
5	1	15	1	27	5	553	1044	64	19	96.593842	roller
5	1	15	1	27	6	627	1043	83	24	96.188110	spring.
4	1	15	1	28	0	362	1067	431	24	-1	
5	1	15	1	28	1	362	1071	11	18	63.852093	2
5	1	15	1	28	2	385	1063	12	33	63.852093	|
5	1	15	1	28	3	407	1069	63	20	96.640434	Road
5	1	15	1	28	4	486	1069	64	19	96.354385	track
5	1	15	1	28	5	559	1068	63	20	96.941284	roller
5	1	15	1	28	6	631	1068	75	23	96.725037	spring
5	1	15	1	28	7	716	1067	77	24	96.918869	plates.
4	1	15	1	29	0	363	1093	311	24	-1	
5	1	15	1	29	1	363	1097	9	17	85.024956	1
5	1	15	1	29	2	384	1089	12	34	85.024956	|
5	1	15	1	29	3	407	1094	65	20	96.832474	Road
5	1	15	1	29	4	481	1095	63	18	96.551483	track
5	1	15	1	29	5	554	1094	64	19	96.915718	roller
5	1	15	1	29	6	628	1093	46	24	96.970863	pin.
4	1	15	1	30	0	362	1117	435	23	-1	
5	1	15	1	30	1	362	1122	12	17	30.542892	2
5	1	15	1	30	2	384	1113	12	35	30.542892	|
5	1	15	1	30	3	407	1120	64	19	96.755730	Road
5	1	15	1	30	4	481	1120	63	19	96.842567	track
5	1	15	1	30	5	554	1119	64	20	96.838425	roller
5	1	15	1	30	6	628	1119	55	19	96.796524	tube
5	1	15	1	30	7	692	1117	105	23	95.536812	bushing.
4	1	15	1	31	0	46	1144	474	31	-1	
5	1	15	1	31	1	46	1144	115	31	39.648430	M-1410_-
5	1	15	1	31	2	364	1147	9	18	80.402954	1
5	1	15	1	31	3	389	1146	2	23	80.402954	|
5	1	15	1	31	4	408	1146	42	19	80.669220	.375
5	1	15	1	31	5	460	1145	60	24	96.253609	plug.
4	1	15	1	32	0	46	1168	816	25	-1	
5	1	15	1	32	1	46	1174	90	19	0.000000	WWeteske
5	1	15	1	32	2	154	1190	36	3	18.540359	cs
5	1	15	1	32	3	212	1190	40	2	0.000000	6s
5	1	15	1	32	4	362	1173	12	17	69.519806	2
5	1	15	1	32	5	408	1171	64	19	94.405792	Road
5	1	15	1	32	6	481	1172	63	18	96.781197	track
5	1	15	1	32	7	554	1169	64	20	96.944481	roller
5	1	15	1	32	8	628	1169	40	24	96.373154	pin
5	1	15	1	32	9	677	1168	71	24	96.372810	staple
5	1	15	1	32	10	759	1168	43	19	96.733521	and
5	1	15	1	32	11	813	1168	49	19	96.815239	nut.
4	1	15	1	33	0	767	1217	220	20	-1	
5	1	15	1	33	1	767	1218	88	19	95.664948	ROAD
5	1	15	1	33	2	876	1217	111	20	96.324448	TRACK
4	1	15	1	34	0	581	1270	539	19	-1	
5	1	15	1	34	1	581	1273	104	16	95.769814	ROLLERS
5	1	15	1	34	2	703	1273	84	15	96.669731	LOWER
5	1	15	1	34	3	806	1272	110	15	96.288445	WITHOUT
5	1	15	1	34	4	934	1271	84	16	96.219353	SPRING
5	1	15	1	34	5	1035	1270	85	15	96.679008	PLATES
4	1	15	1	35	0	47	1319	644	24	-1	
5	1	15	1	35	1	47	1324	206	19	5.578979	M-1383____-=___-
5	1	15	1	35	2	365	1323	9	17	77.801888	1
5	1	15	1	35	3	386	1315	12	34	77.801888	|
5	1	15	1	35	4	408	1320	64	20	96.207787	Road
5	1	15	1	35	5	482	1321	63	18	96.666794	track
5	1	15	1	35	6	555	1319	64	20	96.790855	roller
5	1	15	1	35	7	629	1319	62	20	95.712219	tube.
4	1	15	1	36	0	46	1345	634	31	-1	
5	1	15	1	36	1	46	1345	111	31	88.528236	M-1335__
5	1	15	1	36	2	364	1348	11	17	78.124962	2
5	1	15	1	36	3	387	1341	9	33	78.124962	|
5	1	15	1	36	4	408	1346	80	24	96.290512	Spring
5	1	15	1	36	5	497	1345	54	20	96.980286	steel
5	1	15	1	36	6	561	1345	54	23	97.003113	split
5	1	15	1	36	7	625	1345	55	23	96.227783	ring.
4	1	15	1	37	0	46	1370	592	24	-1	
5	1	15	1	37	1	46	1375	111	19	79.894592	M-1332__
5	1	15	1	37	2	363	1373	12	18	66.957062	2
5	1	15	1	37	3	409	1371	64	20	95.599754	Road
5	1	15	1	37	4	483	1372	63	18	95.599754	track
5	1	15	1	37	5	556	1370	82	20	96.358917	rollers.
4	1	15	1	38	0	46	1395	713	27	-1	
5	1	15	1	38	1	46	1400	111	19	70.611740	M-1337__
5	1	15	1	38	2	259	1403	2	6	50.297756	i
5	1	15	1	38	3	365	1399	9	18	58.638817	1
5	1	15	1	38	4	386	1391	9	34	58.638817	|
5	1	15	1	38	5	409	1396	64	20	95.298637	Road
5	1	15	1	38	6	483	1396	63	20	95.852272	track
5	1	15	1	38	7	555	1396	64	19	96.391396	roller
5	1	15	1	38	8	629	1395	47	24	96.684631	pin.
5	1	15	1	38	9	755	1419	4	3	0.000000	:
4	1	15	1	39	0	22	1419	776	26	-1	
5	1	15	1	39	1	22	1425	1	3	0.000000	*
5	1	15	1	39	2	46	1426	111	19	0.931000	-M-1339__
5	1	15	1	39	3	364	1424	11	18	71.529274	2
5	1	15	1	39	4	386	1415	12	35	71.529274	|
5	1	15	1	39	5	409	1422	64	20	96.298302	Road
5	1	15	1	39	6	483	1422	63	19	96.885017	track
5	1	15	1	39	7	555	1421	64	20	96.017258	roller
5	1	15	1	39	8	629	1420	55	20	96.914413	tube
5	1	15	1	39	9	694	1419	104	23	94.839745	bushing.
4	1	15	1	40	0	47	1447	474	24	-1	
5	1	15	1	40	1	47	1451	110	19	54.880161	M-1410_-
5	1	15	1	40	2	365	1450	9	17	65.605774	1
5	1	15	1	40	3	385	1443	9	33	65.605774	|
5	1	15	1	40	4	409	1448	42	19	90.626694	.375
5	1	15	1	40	5	461	1447	60	24	95.889664	plug.
4	1	15	1	41	0	47	1469	829	27	-1	
5	1	15	1	41	1	47	1477	90	19	0.000000	IMESIR
5	1	15	1	41	2	114	1471	20	33	0.000000	Sc
5	1	15	1	41	3	140	1493	16	2	0.000000	ps
5	1	15	1	41	4	162	1493	91	2	4.441742	aaa
5	1	15	1	41	5	364	1475	11	18	61.719498	2
5	1	15	1	41	6	386	1465	12	35	61.719498	|
5	1	15	1	41	7	409	1473	64	20	96.482895	Road
5	1	15	1	41	8	483	1473	63	19	96.703865	track
5	1	15	1	41	9	556	1471	64	20	97.002975	roller
5	1	15	1	41	10	630	1471	40	23	96.809998	pin
5	1	15	1	41	11	679	1470	82	24	96.809998	staples
5	1	15	1	41	12	771	1469	45	20	96.901176	and
5	1	15	1	41	13	826	1469	50	19	95.190048	nut.
4	1	15	1	42	0	769	1519	220	20	-1	
5	1	15	1	42	1	769	1520	88	19	96.072639	ROAD
5	1	15	1	42	2	877	1519	112	19	95.534279	TRACK
4	1	15	1	43	0	784	1573	188	16	-1	
5	1	15	1	43	1	784	1574	93	15	94.529892	ROLLER
5	1	15	1	43	2	891	1573	81	16	94.529892	PINION
4	1	15	1	44	0	48	1620	774	26	-1	
5	1	15	1	44	1	48	1627	206	19	1.794022	M-1541B-__.-__-
5	1	15	1	44	2	366	1626	9	17	74.897324	1
5	1	15	1	44	3	388	1616	12	35	74.897324	|
5	1	15	1	44	4	410	1622	74	21	96.444916	Chain
5	1	15	1	44	5	493	1623	104	23	96.536217	sprocket
5	1	15	1	44	6	608	1622	45	20	96.561447	and
5	1	15	1	44	7	663	1621	64	21	96.561447	roller
5	1	15	1	44	8	737	1620	85	25	96.099541	pinion.
4	1	15	1	45	0	47	1648	448	23	-1	
5	1	15	1	45	1	47	1652	111	19	51.070744	M-1542_-
5	1	15	1	45	2	354	1650	22	19	89.911758	18
5	1	15	1	45	3	389	1644	12	34	89.911758	|
5	1	15	1	45	4	412	1648	83	20	96.894592	Roller.
4	1	15	1	46	0	48	1672	698	25	-1	
5	1	15	1	46	1	48	1678	110	19	81.626358	M-1543__
5	1	15	1	46	2	353	1676	23	18	95.756943	18
5	1	15	1	46	3	388	1668	10	34	94.803284	|
5	1	15	1	46	4	411	1674	42	19	96.464180	Pin
5	1	15	1	46	5	463	1674	31	20	96.568626	for
5	1	15	1	46	6	503	1673	64	20	96.128174	roller
5	1	15	1	46	7	577	1672	78	25	96.684578	pinion
5	1	15	1	46	8	665	1672	81	20	96.724045	rollers.
4	1	15	1	47	0	48	1697	758	26	-1	
5	1	15	1	47	1	48	1703	111	19	57.146358	M-1550__
5	1	15	1	47	2	354	1701	22	19	96.157326	18
5	1	15	1	47	3	389	1693	12	34	96.660538	|
5	1	15	1	47	4	409	1699	84	24	45.111641	14-inch
5	1	15	1	47	5	504	1700	64	22	96.421730	taper
5	1	15	1	47	6	578	1698	54	24	96.650375	plug
5	1	15	1	47	7	642	1698	32	20	96.404152	for
5	1	15	1	47	8	683	1697	65	21	96.792641	roller
5	1	15	1	47	9	758	1697	48	24	96.490128	pin.
4	1	15	1	48	0	48	1724	545	24	-1	
5	1	15	1	48	1	48	1729	111	19	60.084122	M-1409_-
5	1	15	1	48	2	366	1727	11	18	9.187500	2
5	1	15	1	48	3	386	1720	11	32	9.187500	|
5	1	15	1	48	4	410	1725	96	23	96.262047	Driving
5	1	15	1	48	5	515	1724	78	20	96.341515	wheel.
4	1	15	1	49	0	48	1749	635	24	-1	
5	1	15	1	49	1	48	1754	90	19	87.385345	M-1544
5	1	15	1	49	2	367	1753	8	18	75.784637	1
5	1	15	1	49	3	387	1745	9	33	75.784637	|
5	1	15	1	49	4	410	1750	63	21	96.566658	Shaft
5	1	15	1	49	5	483	1750	32	20	96.922508	for
5	1	15	1	49	6	524	1749	64	21	96.709541	roller
5	1	15	1	49	7	598	1749	85	24	96.966080	pinion.
4	1	15	1	50	0	49	1774	608	24	-1	
5	1	15	1	50	1	49	1779	90	19	92.568405	M-1407
5	1	15	1	50	2	366	1779	9	17	86.808006	1
5	1	15	1	50	3	386	1770	15	33	86.808006	|
5	1	15	1	50	4	410	1777	70	19	96.185539	Outer
5	1	15	1	50	5	489	1775	60	20	96.185539	shaft
5	1	15	1	50	6	559	1774	98	24	95.296555	bearing.
4	1	15	1	51	0	49	1800	604	32	-1	
5	1	15	1	51	1	49	1800	110	32	44.182983	M-1546_-_
5	1	15	1	51	2	366	1804	9	17	89.595032	1
5	1	15	1	51	3	386	1796	12	33	89.595032	|
5	1	15	1	51	4	409	1802	67	19	96.414558	Inner
5	1	15	1	51	5	485	1801	60	19	96.700516	shaft
5	1	15	1	51	6	554	1800	99	23	95.085350	bearing.
4	1	15	1	52	0	49	1825	642	24	-1	
5	1	15	1	52	1	49	1830	132	19	53.849899	M-1552____
5	1	15	1	52	2	367	1829	9	17	65.074890	1
5	1	15	1	52	3	388	1821	9	34	65.074890	|
5	1	15	1	52	4	410	1827	63	20	96.736328	Plate
5	1	15	1	52	5	483	1826	31	21	96.998512	for
5	1	15	1	52	6	524	1826	60	20	96.328545	shaft
5	1	15	1	52	7	594	1825	97	23	94.498291	bearing.
4	1	15	1	53	0	48	1851	515	23	-1	
5	1	15	1	53	1	48	1854	133	20	83.970650	20297-D89_
5	1	15	1	53	2	367	1854	9	18	83.322708	1
5	1	15	1	53	3	388	1847	15	34	83.322708	|
5	1	15	1	53	4	410	1852	77	20	96.948936	Wheel
5	1	15	1	53	5	496	1851	67	20	96.199165	shaft.
4	1	15	1	54	0	49	1874	691	26	-1	
5	1	15	1	54	1	49	1880	156	19	62.290543	M-1549_____-
5	1	15	1	54	2	366	1879	11	17	49.864494	2
5	1	15	1	54	3	385	1870	12	35	49.864494	|
5	1	15	1	54	4	410	1877	84	23	96.698189	34-inch
5	1	15	1	54	5	503	1878	64	22	96.950119	taper
5	1	15	1	54	6	577	1876	54	24	96.855064	plug
5	1	15	1	54	7	640	1875	24	20	96.760155	in
5	1	15	1	54	8	673	1874	67	21	95.513290	shaft.
4	1	15	1	55	0	367	1901	326	25	-1	
5	1	15	1	55	1	367	1905	9	17	81.599258	1
5	1	15	1	55	2	388	1897	12	34	81.599258	|
5	1	15	1	55	3	411	1902	74	20	96.854721	Roller
5	1	15	1	55	4	495	1902	78	24	96.675835	pinion
5	1	15	1	55	5	582	1901	111	24	96.338379	sprocket.
2	1	16	0	0	0	770	1948	220	71	-1	
3	1	16	1	0	0	770	1948	220	71	-1	
4	1	16	1	1	0	770	1948	220	21	-1	
5	1	16	1	1	1	770	1949	88	20	96.047577	ROAD
5	1	16	1	1	2	878	1948	112	20	96.047577	TRACK
4	1	16	1	2	0	800	2003	160	16	-1	
5	1	16	1	2	1	800	2004	42	15	95.758469	TOP
5	1	16	1	2	2	856	2003	104	16	96.452301	ROLLERS
2	1	17	0	0	0	411	2051	467	174	-1	
3	1	17	1	0	0	412	2051	282	20	-1	
4	1	17	1	1	0	412	2051	282	20	-1	
5	1	17	1	1	1	412	2052	64	19	96.520927	Road
5	1	17	1	1	2	486	2051	62	20	96.708862	track
5	1	17	1	1	3	558	2051	65	20	96.945953	roller
5	1	17	1	1	4	632	2051	62	19	96.490601	tube.
3	1	17	2	0	0	412	2076	282	24	-1	
4	1	17	2	1	0	412	2076	282	24	-1	
5	1	17	2	1	1	412	2077	79	23	96.188553	Spring
5	1	17	2	1	2	500	2076	55	20	96.120018	steel
5	1	17	2	1	3	564	2076	54	23	96.974991	split
5	1	17	2	1	4	627	2076	67	23	96.503723	rings.
3	1	17	3	0	0	411	2101	267	24	-1	
4	1	17	3	1	0	411	2101	267	24	-1	
5	1	17	3	1	1	411	2102	50	23	95.141510	Top
5	1	17	3	1	2	470	2102	54	19	96.509880	road
5	1	17	3	1	3	534	2101	63	20	96.491608	track
5	1	17	3	1	4	607	2101	71	20	95.702431	roller.
3	1	17	4	0	0	412	2126	267	24	-1	
4	1	17	4	1	0	412	2126	267	24	-1	
5	1	17	4	1	1	412	2127	64	20	96.509132	Road
