level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1625	2450	-1	
2	1	1	0	0	0	487	62	523	21	-1	
3	1	1	1	0	0	487	62	523	21	-1	
4	1	1	1	1	0	487	62	523	21	-1	
5	1	1	1	1	1	487	62	277	20	93.161011	NOMENCLATURE
5	1	1	1	1	2	781	62	229	21	90.490570	LIST—Continued
2	1	2	0	0	0	93	103	1305	22	-1	
3	1	2	1	0	0	93	103	1305	22	-1	
4	1	2	1	1	0	93	103	1305	22	-1	
5	1	2	1	1	1	93	103	1305	22	95.000000	 
2	1	3	0	0	0	89	235	1093	18	-1	
3	1	3	1	0	0	89	235	1093	18	-1	
4	1	3	1	1	0	89	235	1093	18	-1	
5	1	3	1	1	1	89	235	1093	18	95.000000	 
2	1	4	0	0	0	154	1030	5	320	-1	
3	1	4	1	0	0	154	1030	5	320	-1	
4	1	4	1	1	0	154	1030	5	320	-1	
5	1	4	1	1	1	154	1030	5	320	95.000000	 
2	1	5	0	0	0	160	1661	5	346	-1	
3	1	5	1	0	0	160	1661	5	346	-1	
4	1	5	1	1	0	160	1661	5	346	-1	
5	1	5	1	1	1	160	1661	5	346	95.000000	 
2	1	6	0	0	0	183	403	123	1282	-1	
3	1	6	1	0	0	183	403	123	1282	-1	
4	1	6	1	1	0	183	403	118	86	-1	
5	1	6	1	1	1	183	403	118	86	95.000000	    
4	1	6	1	2	0	183	514	123	727	-1	
5	1	6	1	2	1	183	514	123	727	95.000000	     
4	1	6	1	3	0	204	1523	91	162	-1	
5	1	6	1	3	1	204	1523	91	162	95.000000	  
2	1	7	0	0	0	433	120	13	1650	-1	
3	1	7	1	0	0	433	120	13	1650	-1	
4	1	7	1	1	0	433	120	13	1650	-1	
5	1	7	1	1	1	433	120	13	1650	95.000000	 
2	1	8	0	0	0	419	1305	9	877	-1	
3	1	8	1	0	0	419	1305	9	877	-1	
4	1	8	1	1	0	419	1305	9	877	-1	
5	1	8	1	1	1	419	1305	9	877	95.000000	 
2	1	9	0	0	0	490	475	6	344	-1	
3	1	9	1	0	0	490	475	6	344	-1	
4	1	9	1	1	0	490	475	6	344	-1	
5	1	9	1	1	1	490	475	6	344	95.000000	 
2	1	10	0	0	0	702	1658	5	370	-1	
3	1	10	1	0	0	702	1658	5	370	-1	
4	1	10	1	1	0	702	1658	5	370	-1	
5	1	10	1	1	1	702	1658	5	370	95.000000	 
2	1	11	0	0	0	91	144	1005	2091	-1	
3	1	11	1	0	0	91	144	1005	2091	-1	
4	1	11	1	1	0	317	144	105	19	-1	
5	1	11	1	1	1	317	144	105	19	96.076889	Number
4	1	11	1	2	0	139	168	957	24	-1	
5	1	11	1	2	1	139	168	54	20	96.314011	Part
5	1	11	1	2	2	204	168	43	20	96.472755	No.
5	1	11	1	2	3	349	174	39	18	96.839851	per
5	1	11	1	2	4	794	169	145	23	96.350533	Description
5	1	11	1	2	5	949	169	43	19	96.846497	and
5	1	11	1	2	6	1002	168	94	23	96.423180	location
4	1	11	1	3	0	316	190	118	36	-1	
5	1	11	1	3	1	316	190	105	33	96.834969	machine
5	1	11	1	3	2	433	212	1	14	60.668243	|
4	1	11	1	4	0	797	274	247	22	-1	
5	1	11	1	4	1	797	274	247	22	84.526985	HULL—Continued
4	1	11	1	5	0	812	325	210	20	-1	
5	1	11	1	5	1	812	325	210	20	46.856174	MAIN—Ccontinued
4	1	11	1	6	0	434	363	1	9	-1	
5	1	11	1	6	1	434	363	1	9	86.251938	|
4	1	11	1	7	0	91	373	889	25	-1	
5	1	11	1	7	1	91	373	206	20	13.240829	M-2074___..----
5	1	11	1	7	2	408	375	9	18	71.168335	1
5	1	11	1	7	3	434	373	1	6	71.168335	|
5	1	11	1	7	4	451	374	80	24	96.524918	Splash
5	1	11	1	7	5	541	374	58	24	95.798378	strip
5	1	11	1	7	6	608	380	29	14	95.798378	on
5	1	11	1	7	7	647	375	61	23	96.186958	plate
5	1	11	1	7	8	717	375	72	20	93.300560	under
5	1	11	1	7	9	798	375	94	20	92.514816	driver’s
5	1	11	1	7	10	903	377	77	18	96.407776	turret.
4	1	11	1	8	0	91	398	807	24	-1	
5	1	11	1	8	1	91	398	90	20	68.791321	M-2075
5	1	11	1	8	2	408	401	9	17	79.211960	1
5	1	11	1	8	3	429	395	12	34	79.211960	|
5	1	11	1	8	4	451	399	71	23	96.300400	Angle
5	1	11	1	8	5	533	400	91	20	96.528931	bracket
5	1	11	1	8	6	635	400	72	20	93.258942	under
5	1	11	1	8	7	716	400	93	20	92.288765	driver’s
5	1	11	1	8	8	820	403	78	17	96.641495	turret.
4	1	11	1	9	0	92	424	645	25	-1	
5	1	11	1	9	1	92	424	89	19	91.387299	M-2076
5	1	11	1	9	2	407	426	12	17	56.609348	2
5	1	11	1	9	3	429	421	12	32	56.609348	|
5	1	11	1	9	4	452	425	100	23	95.643059	Packing
5	1	11	1	9	5	561	425	62	23	96.490486	piece
5	1	11	1	9	6	632	431	29	14	96.196663	on
5	1	11	1	9	7	671	425	66	24	96.268646	plate.
4	1	11	1	10	0	91	449	835	25	-1	
5	1	11	1	10	1	91	449	115	19	55.670769	M-2077__
5	1	11	1	10	2	408	451	9	18	90.200745	1
5	1	11	1	10	3	432	445	15	34	90.200745	|
5	1	11	1	10	4	452	450	139	20	95.153313	Removable
5	1	11	1	10	5	602	450	60	24	96.051216	plate
5	1	11	1	10	6	672	451	31	19	96.766357	for
5	1	11	1	10	7	713	449	78	24	96.407967	engine
5	1	11	1	10	8	801	456	63	14	96.407967	room
5	1	11	1	10	9	873	454	53	16	96.713997	star.
4	1	11	1	11	0	91	470	696	33	-1	
5	1	11	1	11	1	91	470	98	33	27.323593	M-2078_
5	1	11	1	11	2	407	476	12	18	87.024704	4
5	1	11	1	11	3	430	471	12	33	87.024704	|
5	1	11	1	11	4	452	475	73	20	96.592438	Roller
5	1	11	1	11	5	536	477	95	22	96.545685	support
5	1	11	1	11	6	642	475	63	24	96.857147	angle
5	1	11	1	11	7	716	476	42	19	96.632263	No.
5	1	11	1	11	8	771	477	16	17	95.946274	1.
4	1	11	1	12	0	92	499	695	25	-1	
5	1	11	1	12	1	92	499	115	20	50.648178	M-2079_-
5	1	11	1	12	2	407	501	12	18	76.531998	4
5	1	11	1	12	3	430	496	12	33	76.531998	|
5	1	11	1	12	4	452	500	75	20	95.991676	Roller
5	1	11	1	12	5	536	502	96	22	96.560440	support
5	1	11	1	12	6	643	500	63	24	96.560440	angle
5	1	11	1	12	7	716	501	42	19	96.559418	No.
5	1	11	1	12	8	770	501	17	19	96.559418	2.
4	1	11	1	13	0	92	524	695	25	-1	
5	1	11	1	13	1	92	524	115	20	43.798080	M-2080__
5	1	11	1	13	2	407	526	12	18	80.297798	4
5	1	11	1	13	3	429	521	12	32	80.297798	|
5	1	11	1	13	4	452	525	75	20	96.335892	Roller
5	1	11	1	13	5	537	529	96	20	96.335892	support
5	1	11	1	13	6	643	526	63	23	96.684578	angle
5	1	11	1	13	7	716	525	43	20	96.564690	No.
5	1	11	1	13	8	770	526	17	19	96.564690	3.
4	1	11	1	14	0	92	549	696	25	-1	
5	1	11	1	14	1	92	549	115	20	47.861095	M-2081__
5	1	11	1	14	2	408	551	11	18	92.023064	4
5	1	11	1	14	3	430	546	12	32	92.023064	|
5	1	11	1	14	4	453	550	76	20	96.415329	Roller
5	1	11	1	14	5	537	552	96	22	96.415329	support
5	1	11	1	14	6	643	551	64	22	96.472816	angle
5	1	11	1	14	7	716	551	43	19	96.964066	No.
5	1	11	1	14	8	771	551	17	18	96.101181	4.
4	1	11	1	15	0	92	574	696	24	-1	
5	1	11	1	15	1	92	574	116	21	73.841042	M-2082__
5	1	11	1	15	2	409	576	11	18	39.511482	2
5	1	11	1	15	3	429	571	12	33	39.511482	|
5	1	11	1	15	4	453	575	76	20	96.066490	Roller
5	1	11	1	15	5	538	577	95	21	96.066490	support
5	1	11	1	15	6	643	575	64	23	96.242424	angle
5	1	11	1	15	7	716	576	44	19	96.633575	No.
5	1	11	1	15	8	771	577	17	18	96.965027	5.
4	1	11	1	16	0	93	596	696	32	-1	
5	1	11	1	16	1	93	596	84	32	39.310856	M-2083
5	1	11	1	16	2	185	601	8	18	32.602890	_
5	1	11	1	16	3	201	617	7	2	32.602890	_
5	1	11	1	16	4	409	601	12	18	79.291687	4
5	1	11	1	16	5	435	619	2	4	79.291687	|
5	1	11	1	16	6	454	600	74	19	96.217880	Roller
5	1	11	1	16	7	538	602	95	22	96.226555	support
5	1	11	1	16	8	643	600	64	23	95.814026	angle
5	1	11	1	16	9	717	600	43	19	96.791321	No.
5	1	11	1	16	10	771	601	18	18	96.893646	6.
4	1	11	1	17	0	93	625	695	23	-1	
5	1	11	1	17	1	93	625	115	20	60.513126	M-2084__
5	1	11	1	17	2	409	626	11	18	86.525070	4
5	1	11	1	17	3	431	621	12	32	86.525070	|
5	1	11	1	17	4	454	625	74	19	96.410873	Roller
5	1	11	1	17	5	537	627	96	21	96.441299	support
5	1	11	1	17	6	643	625	64	23	96.523682	angle
5	1	11	1	17	7	717	625	42	19	96.434059	No.
5	1	11	1	17	8	771	625	17	19	96.456650	7.
4	1	11	1	18	0	93	650	696	23	-1	
5	1	11	1	18	1	93	650	101	20	24.266502	M-2085-
5	1	11	1	18	2	201	667	8	3	24.266502	-
5	1	11	1	18	3	408	650	12	18	90.700699	4
5	1	11	1	18	4	432	646	11	31	90.700699	|
5	1	11	1	18	5	454	650	75	19	87.400185	Koller
5	1	11	1	18	6	537	652	96	21	96.041756	support
5	1	11	1	18	7	643	650	64	23	96.634537	angle
5	1	11	1	18	8	717	650	42	19	96.758339	No.
5	1	11	1	18	9	770	650	19	19	96.156532	8.
4	1	11	1	19	0	93	674	986	24	-1	
5	1	11	1	19	1	93	675	101	20	35.081894	M-2086
5	1	11	1	19	2	185	671	8	32	35.081894	_
5	1	11	1	19	3	201	692	7	3	11.649414	-
5	1	11	1	19	4	410	676	10	18	46.285530	1
5	1	11	1	19	5	430	670	12	33	46.285530	|
5	1	11	1	19	6	455	675	101	23	95.995483	Packing
5	1	11	1	19	7	565	675	61	23	96.615845	piece
5	1	11	1	19	8	636	674	102	20	96.640709	between
5	1	11	1	19	9	747	675	54	19	96.640709	floor
5	1	11	1	19	10	811	675	66	19	95.192940	beam
5	1	11	1	19	11	887	675	45	19	96.696198	and
5	1	11	1	19	12	942	675	59	23	96.802223	plate
5	1	11	1	19	13	1011	675	40	22	82.356720	No.
5	1	11	1	19	14	1062	678	17	20	96.514816	3.
4	1	11	1	20	0	93	700	687	23	-1	
5	1	11	1	20	1	93	700	116	20	10.625351	M-2087--
5	1	11	1	20	2	411	701	11	18	77.941216	2
5	1	11	1	20	3	432	696	12	31	77.941216	|
5	1	11	1	20	4	455	700	80	23	96.112999	Splash
5	1	11	1	20	5	545	700	63	23	96.272568	angle
5	1	11	1	20	6	618	705	29	14	95.109756	on
5	1	11	1	20	7	656	700	48	19	96.040810	side
5	1	11	1	20	8	714	700	66	23	96.466431	plate.
4	1	11	1	21	0	93	725	762	23	-1	
5	1	11	1	21	1	93	726	101	20	26.899269	M-2088
5	1	11	1	21	2	187	722	6	32	26.899269	_
5	1	11	1	21	3	201	743	8	2	41.089470	_
5	1	11	1	21	4	411	726	11	18	52.576908	2
5	1	11	1	21	5	433	721	9	32	52.576908	|
5	1	11	1	21	6	455	725	80	23	95.418945	Splash
5	1	11	1	21	7	545	725	64	23	96.097839	angle
5	1	11	1	21	8	618	725	24	19	96.864433	in
5	1	11	1	21	9	651	725	59	19	96.752388	front
5	1	11	1	21	10	721	725	22	19	93.214668	of
5	1	11	1	21	11	750	729	105	19	91.988052	sponson.
4	1	11	1	22	0	93	750	752	23	-1	
5	1	11	1	22	1	93	751	102	20	25.094894	M-2089_
5	1	11	1	22	2	202	768	7	2	25.094894	-
5	1	11	1	22	3	411	751	12	18	25.799316	2
5	1	11	1	22	4	432	746	12	31	25.799316	|
5	1	11	1	22	5	455	750	81	23	96.522728	Splash
5	1	11	1	22	6	546	750	64	23	96.140083	angle
5	1	11	1	22	7	619	750	24	19	95.947647	in
5	1	11	1	22	8	653	755	47	14	96.967484	rear
5	1	11	1	22	9	710	750	22	19	93.170364	of
5	1	11	1	22	10	740	754	105	19	92.750793	sponson.
4	1	11	1	23	0	93	775	771	24	-1	
5	1	11	1	23	1	93	776	116	20	46.373863	M-2090--
5	1	11	1	23	2	411	777	12	17	67.748016	2
5	1	11	1	23	3	456	775	80	24	95.776573	Splash
5	1	11	1	23	4	546	775	64	23	90.399750	angle
5	1	11	1	23	5	619	776	24	18	90.399750	in
5	1	11	1	23	6	653	776	59	19	96.464333	front
5	1	11	1	23	7	723	775	22	19	96.464333	of
5	1	11	1	23	8	752	775	48	19	96.801903	side
5	1	11	1	23	9	810	775	54	19	96.857185	door
4	1	11	1	24	0	93	797	762	32	-1	
