level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1715	2450	-1	
2	1	1	0	0	0	621	32	523	28	-1	
3	1	1	1	0	0	621	32	523	28	-1	
4	1	1	1	1	0	621	32	523	28	-1	
5	1	1	1	1	1	621	32	276	23	93.281860	NOMENCLATURE
5	1	1	1	1	2	914	36	230	24	91.407318	LIST—Continued
2	1	2	0	0	0	228	75	1311	24	-1	
3	1	2	1	0	0	228	75	1311	24	-1	
4	1	2	1	1	0	228	75	1311	24	-1	
5	1	2	1	1	1	228	75	1311	24	95.000000	 
2	1	3	0	0	0	276	135	108	21	-1	
3	1	3	1	0	0	276	135	108	21	-1	
4	1	3	1	1	0	276	135	108	21	-1	
5	1	3	1	1	1	276	135	53	21	96.554092	Part
5	1	3	1	1	2	340	135	44	20	96.448448	No.
2	1	4	0	0	0	452	110	105	72	-1	
3	1	4	1	0	0	452	110	105	72	-1	
4	1	4	1	1	0	452	110	105	22	-1	
5	1	4	1	1	1	452	110	105	22	96.770073	Number
4	1	4	1	2	0	485	141	40	23	-1	
5	1	4	1	2	1	485	141	40	23	96.204269	per
4	1	4	1	3	0	452	161	103	21	-1	
5	1	4	1	3	1	452	161	103	21	96.620590	machine
2	1	5	0	0	0	905	142	304	25	-1	
3	1	5	1	0	0	905	142	304	25	-1	
4	1	5	1	1	0	905	142	304	25	-1	
5	1	5	1	1	1	905	142	143	25	96.622169	Description
5	1	5	1	1	2	1058	145	45	20	96.943436	and
5	1	5	1	1	3	1112	145	97	22	96.302361	location
2	1	6	0	0	0	224	206	1314	23	-1	
3	1	6	1	0	0	224	206	1314	23	-1	
4	1	6	1	1	0	224	206	1314	23	-1	
5	1	6	1	1	1	224	206	1314	23	95.000000	 
2	1	7	0	0	0	201	1246	218	180	-1	
3	1	7	1	0	0	201	1246	218	180	-1	
4	1	7	1	1	0	201	1246	218	180	-1	
5	1	7	1	1	1	201	1246	218	180	95.000000	 
2	1	8	0	0	0	205	337	229	861	-1	
3	1	8	1	0	0	205	337	229	861	-1	
4	1	8	1	1	0	205	337	229	861	-1	
5	1	8	1	1	1	205	337	229	861	95.000000	 
2	1	9	0	0	0	189	1549	226	711	-1	
3	1	9	1	0	0	189	1549	226	711	-1	
4	1	9	1	1	0	189	1549	226	711	-1	
5	1	9	1	1	1	189	1549	226	711	95.000000	 
2	1	10	0	0	0	407	90	38	2154	-1	
3	1	10	1	0	0	407	90	38	2154	-1	
4	1	10	1	1	0	407	90	38	2154	-1	
5	1	10	1	1	1	407	90	38	2154	95.000000	 
2	1	11	0	0	0	533	342	18	397	-1	
3	1	11	1	0	0	533	342	18	397	-1	
4	1	11	1	1	0	533	342	18	397	-1	
5	1	11	1	1	1	533	342	18	397	5.428680	CNNNNNNNNNNNHNNNW
2	1	12	0	0	0	520	719	12	19	-1	
3	1	12	1	0	0	520	719	12	19	-1	
4	1	12	1	1	0	520	719	12	19	-1	
5	1	12	1	1	1	520	719	12	19	19.669952	Ps
2	1	13	0	0	0	516	1074	9	43	-1	
3	1	13	1	0	0	516	1074	9	43	-1	
4	1	13	1	1	0	516	1074	9	43	-1	
5	1	13	1	1	1	516	1074	9	43	41.082920	an
2	1	14	0	0	0	513	896	29	524	-1	
3	1	14	1	0	0	513	896	29	524	-1	
4	1	14	1	1	0	513	1225	9	18	-1	
5	1	14	1	1	1	513	1225	9	18	40.902496	pel
4	1	14	1	2	0	522	896	20	524	-1	
5	1	14	1	2	1	522	1224	15	196	0.000000	NNONNNHHKE
5	1	14	1	2	2	525	1154	13	38	7.284782	BH
5	1	14	1	2	3	525	1022	15	120	0.000000	NNDB
5	1	14	1	2	4	518	1020	28	43	0.000000	BRN
5	1	14	1	2	5	529	896	13	95	0.000000	NWOONNW
2	1	15	0	0	0	515	1048	9	321	-1	
3	1	15	1	0	0	515	1048	9	321	-1	
4	1	15	1	1	0	515	1048	9	321	-1	
5	1	15	1	1	1	515	1048	9	321	95.000000	 
2	1	16	0	0	0	852	248	400	75	-1	
3	1	16	1	0	0	852	248	400	75	-1	
4	1	16	1	1	0	911	248	289	24	-1	
5	1	16	1	1	1	911	248	289	24	89.641472	ENGINE—Continued
4	1	16	1	2	0	852	302	400	21	-1	
5	1	16	1	2	1	852	302	134	17	91.725845	CAM-SHAFT
5	1	16	1	2	2	996	302	256	21	84.354988	HOUSING—continued
2	1	17	0	0	0	578	343	952	428	-1	
3	1	17	1	0	0	578	343	952	428	-1	
4	1	17	1	1	0	584	343	442	30	-1	
5	1	17	1	1	1	584	343	128	21	92.708450	Cam-shaft
5	1	17	1	1	2	721	345	99	25	97.010155	bearing,
5	1	17	1	1	3	830	346	45	21	96.645821	No.
5	1	17	1	1	4	885	349	11	18	96.645821	2
5	1	17	1	1	5	906	349	120	24	96.716072	assembly.
4	1	17	1	2	0	584	368	464	30	-1	
5	1	17	1	2	1	584	368	127	21	92.872559	Cam-shaft
5	1	17	1	2	2	721	370	98	25	96.905060	bearing,
5	1	17	1	2	3	829	377	72	19	96.851364	upper
5	1	17	1	2	4	910	374	54	24	96.851364	half,
5	1	17	1	2	5	975	375	44	19	95.565811	No.
5	1	17	1	2	6	1029	376	19	19	95.565811	2.
4	1	17	1	3	0	583	393	457	30	-1	
5	1	17	1	3	1	583	393	127	21	91.905945	Cam-shaft
5	1	17	1	3	2	720	395	98	25	96.681633	bearing,
5	1	17	1	3	3	828	397	67	21	96.681633	lower
5	1	17	1	3	4	904	399	54	24	96.707428	half,
5	1	17	1	3	5	969	400	44	19	96.933929	No.
5	1	17	1	3	6	1023	401	17	19	94.235985	2.
4	1	17	1	4	0	582	419	443	30	-1	
5	1	17	1	4	1	582	419	128	21	91.701797	Cam-shaft
5	1	17	1	4	2	720	420	98	25	96.838593	bearing,
5	1	17	1	4	3	829	422	44	20	96.643265	No.
5	1	17	1	4	4	884	424	10	19	95.814873	3
5	1	17	1	4	5	904	425	121	24	95.814873	assembly.
4	1	17	1	5	0	582	444	462	29	-1	
5	1	17	1	5	1	582	444	128	21	91.735733	Cam-shaft
5	1	17	1	5	2	719	446	98	24	96.996178	bearing,
5	1	17	1	5	3	828	453	71	18	96.839767	upper
5	1	17	1	5	4	909	449	53	24	96.962212	half,
5	1	17	1	5	5	973	450	44	20	96.937599	No.
5	1	17	1	5	6	1028	451	16	20	92.673355	3.
4	1	17	1	6	0	582	469	458	29	-1	
5	1	17	1	6	1	582	469	128	21	92.514008	Cam-shaft
5	1	17	1	6	2	719	471	98	24	96.636887	bearing,
5	1	17	1	6	3	827	472	68	21	96.894112	lower
5	1	17	1	6	4	903	474	54	24	93.560844	half,
5	1	17	1	6	5	968	475	44	20	96.941269	No.
5	1	17	1	6	6	1022	476	18	19	96.978584	3.
4	1	17	1	7	0	581	494	434	30	-1	
5	1	17	1	7	1	581	494	128	21	92.159622	Cam-shaft
5	1	17	1	7	2	719	496	91	24	96.650200	bearing
5	1	17	1	7	3	819	497	44	20	96.650200	No.
5	1	17	1	7	4	874	499	12	18	96.000496	4
5	1	17	1	7	5	896	500	119	24	96.000496	assembly.
4	1	17	1	8	0	581	519	464	30	-1	
5	1	17	1	8	1	581	519	128	21	93.025208	Cam-shaft
5	1	17	1	8	2	718	521	98	24	96.944313	bearing,
5	1	17	1	8	3	827	528	72	19	96.332893	upper
5	1	17	1	8	4	908	524	54	25	96.594154	half,
5	1	17	1	8	5	973	525	44	20	95.486877	No.
5	1	17	1	8	6	1027	526	18	19	95.486877	4.
4	1	17	1	9	0	580	544	460	29	-1	
5	1	17	1	9	1	580	544	128	21	91.680779	Cam-shaft
5	1	17	1	9	2	717	546	98	25	96.994629	bearing,
5	1	17	1	9	3	826	547	67	21	96.994629	lower
5	1	17	1	9	4	903	549	53	24	96.941284	half,
5	1	17	1	9	5	967	550	44	20	96.633812	No.
5	1	17	1	9	6	1021	552	19	19	96.548660	4.
4	1	17	1	10	0	580	570	436	29	-1	
5	1	17	1	10	1	580	570	128	21	78.318443	Cam-shaft
5	1	17	1	10	2	718	571	91	25	96.861496	bearing
5	1	17	1	10	3	819	573	43	20	96.864082	No.
5	1	17	1	10	4	874	575	11	18	96.800682	5
5	1	17	1	10	5	895	575	121	24	94.679840	assembly.
4	1	17	1	11	0	580	594	477	31	-1	
5	1	17	1	11	1	580	594	127	22	92.023438	Cam-shaft
5	1	17	1	11	2	717	596	91	25	96.785660	bearing
5	1	17	1	11	3	819	598	81	25	96.730621	(upper
5	1	17	1	11	4	909	600	64	25	96.289986	half),
5	1	17	1	11	5	984	601	44	20	93.921288	No.
5	1	17	1	11	6	1040	602	17	19	93.921288	5.
4	1	17	1	12	0	579	620	473	29	-1	
5	1	17	1	12	1	579	620	128	21	92.489281	Cam-shaft
5	1	17	1	12	2	716	621	92	25	96.745216	bearing
5	1	17	1	12	3	819	623	75	23	96.960670	(lower
5	1	17	1	12	4	904	624	64	25	96.868149	half),
5	1	17	1	12	5	979	626	44	20	96.567680	No.
5	1	17	1	12	6	1034	628	18	18	96.562363	5.
4	1	17	1	13	0	579	645	433	30	-1	
5	1	17	1	13	1	579	645	127	21	92.169380	Cam-shaft
5	1	17	1	13	2	715	647	93	25	96.682175	bearing
5	1	17	1	13	3	817	649	43	20	96.602661	No.
5	1	17	1	13	4	872	651	11	18	96.602661	6
5	1	17	1	13	5	892	651	120	24	96.767792	assembly.
4	1	17	1	14	0	579	670	477	30	-1	
5	1	17	1	14	1	579	670	127	22	92.113289	Cam-shaft
5	1	17	1	14	2	715	672	92	25	96.517296	bearing
5	1	17	1	14	3	819	673	80	26	96.906189	(upper
5	1	17	1	14	4	908	675	65	25	95.498924	half),
5	1	17	1	14	5	983	677	44	20	95.498924	No.
5	1	17	1	14	6	1038	678	18	18	95.509018	6.
